wavelength_nm,alpha_water
400,4.965e-08
405,4.6246e-08
410,4.3563e-08
415,4.0545e-08
420,3.7657e-08
425,3.4597e-08
429,3.1833e-08
435,2.9442e-08
440,2.6857e-08
445,2.4548e-08
450,2.2593e-08
455,2.1529e-08
460,2.0748e-08
465,2.0277e-08
470,1.9498e-08
475,1.8536e-08
480,1.8578e-08
485,1.8535e-08
490,1.8837e-08
495,1.9906e-08
500,2.323e-08
505,2.6841e-08
510,3.1188e-08
515,3.5636e-08
520,3.7941e-08
525,3.927e-08
530,4.1682e-08
535,4.4356e-08
540,4.8868e-08
545,5.2366e-08
550,5.5845e-08
555,6.0249e-08
560,6.4403e-08
565,6.9672e-08
570,7.568e-08
575,8.395e-08
579,9.6167e-08
585,1.1219e-07
590,1.3552e-07
596,1.6292e-07
600,2.0184e-07
605,2.3501e-07
610,2.5524e-07
615,2.7167e-07
619,2.8383e-07
625,2.9587e-07
629,2.9984e-07
635,3.0699e-07
640,3.0841e-07
646,3.1255e-07
650,3.2358e-07
655,3.4113e-07
661,3.6898e-07
665,3.8362e-07
670,3.9355e-07
675,4.0559e-07
681,4.2454e-07
685,4.5298e-07
690,4.8303e-07
695,5.3574e-07
700,6.012e-07
705,7.3112e-07
710,8.851e-07
715,1.0544e-06
719,1.2736e-06
724,1.585e-06
729,1.981e-06
735,2.3063e-06
740,2.4773e-06
745,2.5818e-06
750,2.6125e-06
755,2.6294e-06
760,2.6114e-06
766,2.577e-06
769,2.495e-06
775,2.3981e-06
780,2.2706e-06
785,2.1429e-06
791,2.0374e-06
794,1.9902e-06
800,1.964e-06
805,1.9815e-06
809,2.0657e-06
815,2.2335e-06
820,2.4829e-06
824,2.7737e-06
830,3.0905e-06
836,3.3732e-06
840,3.6808e-06
845,3.999e-06
849,4.3343e-06
855,4.6336e-06
859,4.8978e-06
865,5.1515e-06
871,5.4074e-06
875,5.6111e-06
879,5.7942e-06
885,6.0113e-06
889,6.2224e-06
895,6.4867e-06
900,6.7924e-06
906,7.1455e-06
910,7.8707e-06
914,9.2052e-06
920,1.1338e-05
925,1.4405e-05
929,1.8505e-05
935,2.3792e-05
940,2.9005e-05
944,3.4035e-05
951,3.8759e-05
955,4.1976e-05
959,4.3984e-05
966,4.5057e-05
971,4.5345e-05
975,4.4852e-05
980,4.3851e-05
984,4.2603e-05
991,4.1258e-05
995,3.9527e-05
1000,3.7699e-05
1009,3.3477e-05
1021,2.8948e-05
1030,2.4413e-05
1040,2.042e-05
1050,1.6983e-05
1059,1.5414e-05
1069,1.48e-05
1079,1.5478e-05
1089,1.7297e-05
1099,1.953e-05
1109,2.3093e-05
1119,2.9512e-05
1130,4.3026e-05
1140,6.5599e-05
1151,0.0001016
1159,0.00011591
1169,0.0001204
1180,0.00012353
1191,0.00012461
1199,0.00012566
1211,0.00012359
1219,0.00012154
1230,0.00011851
1239,0.00011552
1250,0.00011058
1259,0.0001077
1271,0.00010777
1279,0.00011191
1291,0.00011885
1300,0.00013533
1309,0.00015734
1321,0.00018188
1330,0.00021268
1340,0.00026718
1349,0.00037699
1361,0.00041595
1371,0.00053199
1380,0.00071045
1390,0.0009583
1400,0.0013733
1409,0.0022653
1419,0.0028312
1429,0.0031113
1439,0.0031691
1449,0.0031542
1459,0.0031041
1469,0.0028974
1479,0.0025643
1489,0.0022441
1500,0.0018833
1510,0.0016295
1521,0.0014384
1531,0.0013149
1542,0.0011743
1549,0.0010936
1560,0.00099886
1570,0.00091246
1581,0.00085127
1589,0.00078609
1600,0.00073411
1611,0.00068674
1622,0.00064381
1629,0.00062454
1641,0.00060519
1648,0.00057883
1660,0.00056004
1671,0.0005568
1679,0.00056096
1690,0.00056519
1698,0.00057303
1710,0.00059157
1722,0.00061372
1730,0.00064648
1742,0.00068603
1750,0.00071808
1762,0.00074956
1770,0.00079516
1778,0.00086155
1791,0.00093318
1799,0.00094929
1811,0.00095132
1820,0.00095283
1828,0.00097479
1841,0.0010594
1849,0.0012648
1862,0.002163
1871,0.0034986
1879,0.0048313
1888,0.0061374
1901,0.0076747
1910,0.01104
1919,0.011964
1932,0.012501
1941,0.012359
1950,0.011909
1959,0.011014
1968,0.0098845
1982,0.008889
1991,0.0078895
2000,0.0069178
2009,0.006195
2018,0.0055347
2028,0.0049881
2042,0.004549
2051,0.0041308
2061,0.0037839
2070,0.0034755
2080,0.0031984
2089,0.002938
2099,0.0027797
2109,0.0026235
2118,0.0024777
2128,0.0023444
2138,0.0022488
2148,0.0021675
2158,0.0020888
2168,0.0020322
2178,0.0019813
2188,0.0019499
2198,0.0019318
2208,0.0019276
2218,0.001932
2228,0.0019504
2239,0.0020042
2249,0.0020892
2259,0.0021684
2270,0.0022592
2280,0.0023661
2291,0.0024716
2301,0.0025591
2312,0.0026731
2317,0.0027736
2328,0.0029311
2339,0.0032208
2350,0.0034036
2360,0.0036485
2371,0.0039363
2382,0.0041788
2388,0.0044666
2399,0.0047641
2410,0.0051642
2421,0.0055591
2432,0.0059422
2438,0.006443
2449,0.0069169
2460,0.0075194
2472,0.0080319
2477,0.0086701
2489,0.0091383
2500,0.0095504
