lims_pedon_id,user_pedon_id,LRR,MLRA,approved_indicators_present,number_approved_indicators_present,has_at_least_one_approved_indicator_present,number_applicable_priority_indicators,number_not_demonstrated,number_insufficient_information,all_applicable_indicators_insufficient_information,interpretation,likely_neon_site_code,areasymbol,mukey,musym,muname,nasis_taxon_name,nasis_taxonomy,match_confidence,match_evidence,selected_cokey,selected_compname,selected_comppct_r,selected_majcompflag,selected_drainagecl,selected_hydricrating,selected_hydric_criteria,ssurgo_hydric_rating,high_confidence_ssurgo_match,ssurgo_hydric_yes,ssurgo_hydric_no,field_indicator_present,has_explicit_negative_morphology_evidence,complete_priority_indicator_evaluation,evidence_class,core_reference_cohort,conflict_flag
23336,S2012MA027001,R,144B,,0,False,10,1,9,False,Indicator evidence only; no final hydric/nonhydric label assigned.,,MA614,278708.0,908C,"Becket-Skerry association, 0 to 15 percent slopes, extremely stony","Henniker, taxadjunct","Coarse-loamy over sandy or sandy-skeletal, mixed, semiactive, frigid Oxyaquic Dystrudepts",UNMATCHED,No candidate has adequate name or taxonomic agreement.,,,,,,,,,False,False,False,False,True,False,LINKAGE_UNRESOLVED,False,False
24186,S2012CO123001,G,67B,,0,False,11,3,8,False,Indicator evidence only; no final hydric/nonhydric label assigned.,,CO617,95132.0,4,"Ascalon fine sandy loam, 0 to 6 percent slopes",Ascalon,"Fine-loamy, mixed, superactive, mesic Aridic Argiustolls",EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,26599030.0,Ascalon,85.0,Yes,Well drained,No,,no,True,False,True,False,True,False,PARTIAL_NEGATIVE_SUPPORT,False,False
24847,S2012ND093001,F,53B,,0,False,11,0,11,True,Indicator evidence only; no final hydric/nonhydric label assigned.,,ND093,3312341.0,C24A,"Parnell silty clay loam, 0 to 1 percent slopes, Missouri Coteau",Manning-Like,,UNMATCHED,No candidate has adequate name or taxonomic agreement.,,,,,,,,,False,False,False,False,False,False,LINKAGE_UNRESOLVED,False,False
27999,S2012GA007001,P,133A,,0,False,12,0,12,True,Indicator evidence only; no final hydric/nonhydric label assigned.,,GA603,325176.0,TwB,"Troup sand, 0 to 5 percent slopes",Uchee,"Loamy, kaolinitic, thermic Arenic Kanhapludults",MEDIUM,No name match; unique candidate supported by at least three taxonomic ranks.,26518286.0,Troup,80.0,Yes,Somewhat excessively drained,No,,no,False,False,False,False,False,False,LINKAGE_UNRESOLVED,False,False
28656,S2013VA043001,S,147,,0,False,10,1,9,False,Indicator evidence only; no final hydric/nonhydric label assigned.,,VA043,516570.0,51B,"Timberville silt loam, 0 to 7 percent slopes, frequently flooded",Poplimento,"Fine, mixed, subactive, mesic Ultic Hapludalfs",UNMATCHED,No candidate has adequate name or taxonomic agreement.,,,,,,,,,False,False,False,False,True,False,LINKAGE_UNRESOLVED,False,False
29041,S2013FL097001,U,155,,0,False,12,0,12,True,Indicator evidence only; no final hydric/nonhydric label assigned.,,FL097,1483882.0,42,"Smyrna fine sand, 0 to 2 percent slopes",,,UNMATCHED,No candidate has adequate name or taxonomic agreement.,,,,,,,,,False,False,False,False,False,False,LINKAGE_UNRESOLVED,False,False
29212,S2013OK149001,H,78C,,0,False,11,0,11,True,Indicator evidence only; no final hydric/nonhydric label assigned.,,OK149,2507761.0,CRoF,"Cordell-Rock outcrop complex, 1 to 20 percent slopes",Cordell Like,,AMBIGUOUS,Multiple plausible candidates remain without a decisive name/taxonomy margin.,,,,,,,,,False,False,False,False,False,False,LINKAGE_UNRESOLVED,False,False
29547,S2013NM013001,D,42B,,0,False,11,3,8,False,Indicator evidence only; no final hydric/nonhydric label assigned.,,NM690,634579.0,OP,Onite-Pajarito association,Nations,"Coarse-loamy, mixed, superactive, thermic Typic Petrocalcids",AMBIGUOUS,Multiple plausible candidates remain without a decisive name/taxonomy margin.,,,,,,,,,False,False,False,False,True,False,LINKAGE_UNRESOLVED,False,False
30209,S2013CO075001,H,72,,0,False,11,3,8,False,Indicator evidence only; no final hydric/nonhydric label assigned.,,CO075,94489.0,126,"Weld loam, 1 to 3 percent slopes",Goshen,"Fine-silty, mixed, superactive, mesic Pachic Argiustolls",AMBIGUOUS,Multiple plausible candidates remain without a decisive name/taxonomy margin.,,,,,,,,,False,False,False,False,True,False,LINKAGE_UNRESOLVED,False,False
30342,S2013AL063001,P,135A,,0,False,12,2,10,False,Indicator evidence only; no final hydric/nonhydric label assigned.,,AL063,329668.0,LF,Leaf-Angie association,Angie,"Fine, mixed, semiactive, thermic Aquic Paleudults",EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,27276263.0,Angie,39.0,Yes,Moderately well drained,No,,no,True,False,True,False,True,False,PARTIAL_NEGATIVE_SUPPORT,False,False
