lims_pedon_id,user_pedon_id,LRR,MLRA,approved_indicators_present,number_approved_indicators_present,has_at_least_one_approved_indicator_present,number_applicable_priority_indicators,number_not_demonstrated,number_insufficient_information,all_applicable_indicators_insufficient_information,interpretation
23336,S2012MA027001,R,144B,,0,False,10,1,9,False,Indicator evidence only; no final hydric/nonhydric label assigned.
24186,S2012CO123001,G,67B,,0,False,11,3,8,False,Indicator evidence only; no final hydric/nonhydric label assigned.
24847,S2012ND093001,F,53B,,0,False,11,0,11,True,Indicator evidence only; no final hydric/nonhydric label assigned.
27999,S2012GA007001,P,133A,,0,False,12,0,12,True,Indicator evidence only; no final hydric/nonhydric label assigned.
28656,S2013VA043001,S,147,,0,False,10,1,9,False,Indicator evidence only; no final hydric/nonhydric label assigned.
29041,S2013FL097001,U,155,,0,False,12,0,12,True,Indicator evidence only; no final hydric/nonhydric label assigned.
29212,S2013OK149001,H,78C,,0,False,11,0,11,True,Indicator evidence only; no final hydric/nonhydric label assigned.
29547,S2013NM013001,D,42B,,0,False,11,3,8,False,Indicator evidence only; no final hydric/nonhydric label assigned.
30209,S2013CO075001,H,72,,0,False,11,3,8,False,Indicator evidence only; no final hydric/nonhydric label assigned.
30342,S2013AL063001,P,135A,,0,False,12,2,10,False,Indicator evidence only; no final hydric/nonhydric label assigned.
30433,S2013VA187001,N,130A,,0,False,11,1,10,False,Indicator evidence only; no final hydric/nonhydric label assigned.
30664,S2013CO069001,E,48A,,0,False,10,1,9,False,Indicator evidence only; no final hydric/nonhydric label assigned.
32176,S2013NH003001,,,,0,False,0,0,0,False,Indicator evidence only; no final hydric/nonhydric label assigned.
32381,S2013MI053001,K,93B,,0,False,10,1,9,False,Indicator evidence only; no final hydric/nonhydric label assigned.
32609,S2013TN001001,N,128,,0,False,11,1,10,False,Indicator evidence only; no final hydric/nonhydric label assigned.
32683,S2014AZ019001,D,40,,0,False,11,0,11,True,Indicator evidence only; no final hydric/nonhydric label assigned.
32835,S2013VA071001,,,,0,False,0,0,0,False,Indicator evidence only; no final hydric/nonhydric label assigned.
32836,S2013VA071002,,,,0,False,0,0,0,False,Indicator evidence only; no final hydric/nonhydric label assigned.
32878,S2014AL007001,P,133C,,0,False,12,1,11,False,Indicator evidence only; no final hydric/nonhydric label assigned.
32922,S2014UT037001,,,,0,False,0,0,0,False,Indicator evidence only; no final hydric/nonhydric label assigned.
33023,S2014PR079001,Z,273,,0,False,12,9,3,False,Indicator evidence only; no final hydric/nonhydric label assigned.
33127,S2014MD003001,S,149A,,0,False,10,1,9,False,Indicator evidence only; no final hydric/nonhydric label assigned.
33204,S2014UT045001,D,28A,,0,False,11,3,8,False,Indicator evidence only; no final hydric/nonhydric label assigned.
33539,S2014KS161502,H,76,,0,False,11,6,5,False,Indicator evidence only; no final hydric/nonhydric label assigned.
33553,S2014KS161501,H,76,,0,False,11,3,8,False,Indicator evidence only; no final hydric/nonhydric label assigned.
33554,S2014KS161502,H,76,,0,False,11,6,5,False,Indicator evidence only; no final hydric/nonhydric label assigned.
33557,S2014KS045001,M,106,,0,False,11,1,10,False,Indicator evidence only; no final hydric/nonhydric label assigned.
33569,S2014KS161503,H,76,,0,False,11,1,10,False,Indicator evidence only; no final hydric/nonhydric label assigned.
33614,S2014CO013501,E,48A,,0,False,10,1,9,False,Indicator evidence only; no final hydric/nonhydric label assigned.
34175,S2015AL023004,P,133C,,0,False,12,2,10,False,Indicator evidence only; no final hydric/nonhydric label assigned.
34187,S2015TN155001,N,130B,,0,False,11,1,10,False,Indicator evidence only; no final hydric/nonhydric label assigned.
34193,S2015PR055001,Z,271,,0,False,12,6,6,False,Indicator evidence only; no final hydric/nonhydric label assigned.
34295,S2015WA011001,A,3,,0,False,10,1,9,False,Indicator evidence only; no final hydric/nonhydric label assigned.
34347,S2015WI069002,K,94D,,0,False,10,1,9,False,Indicator evidence only; no final hydric/nonhydric label assigned.
34348,S2015WI069001,K,94D,,0,False,10,1,9,False,Indicator evidence only; no final hydric/nonhydric label assigned.
34379,S2015AK240001,X1,229,,0,False,0,0,0,False,Indicator evidence only; no final hydric/nonhydric label assigned.
34489,S2015KS045100,M,106,,0,False,11,1,10,False,Indicator evidence only; no final hydric/nonhydric label assigned.
34490,S2015KS045101,M,106,,0,False,11,1,10,False,Indicator evidence only; no final hydric/nonhydric label assigned.
34491,S2015KS045102,M,106,,0,False,11,1,10,False,Indicator evidence only; no final hydric/nonhydric label assigned.
34492,S2015KS045103,M,106,,0,False,11,1,10,False,Indicator evidence only; no final hydric/nonhydric label assigned.
34493,S2015KS045104,M,106,,0,False,11,1,10,False,Indicator evidence only; no final hydric/nonhydric label assigned.
34494,S2015KS045105,M,106,,0,False,11,1,10,False,Indicator evidence only; no final hydric/nonhydric label assigned.
34495,S2015KS045106,M,106,,0,False,11,1,10,False,Indicator evidence only; no final hydric/nonhydric label assigned.
34496,S2015KS045107,M,106,,0,False,11,1,10,False,Indicator evidence only; no final hydric/nonhydric label assigned.
34497,S2015KS045108,M,106,,0,False,11,1,10,False,Indicator evidence only; no final hydric/nonhydric label assigned.
34498,S2015KS045109,M,106,,0,False,11,1,10,False,Indicator evidence only; no final hydric/nonhydric label assigned.
34499,S2015KS045110,M,106,,0,False,11,1,10,False,Indicator evidence only; no final hydric/nonhydric label assigned.
34500,S2015KS087100,M,106,,0,False,11,1,10,False,Indicator evidence only; no final hydric/nonhydric label assigned.
34501,S2015KS087101,M,106,,0,False,11,1,10,False,Indicator evidence only; no final hydric/nonhydric label assigned.
34502,S2015KS087102,M,106,,0,False,11,1,10,False,Indicator evidence only; no final hydric/nonhydric label assigned.
34503,S2015KS087103,M,106,,0,False,11,1,10,False,Indicator evidence only; no final hydric/nonhydric label assigned.
34504,S2015KS087104,M,106,,0,False,11,1,10,False,Indicator evidence only; no final hydric/nonhydric label assigned.
34505,S2015KS087105,M,106,,0,False,11,1,10,False,Indicator evidence only; no final hydric/nonhydric label assigned.
34506,S2015KS087106,M,106,,0,False,11,1,10,False,Indicator evidence only; no final hydric/nonhydric label assigned.
34774,S2015KS061100,H,76,,0,False,11,3,8,False,Indicator evidence only; no final hydric/nonhydric label assigned.
34775,S2015KS161100,H,76,,0,False,11,6,5,False,Indicator evidence only; no final hydric/nonhydric label assigned.
34776,S2015KS161101,H,76,,0,False,11,6,5,False,Indicator evidence only; no final hydric/nonhydric label assigned.
34777,S2015KS161102,H,76,,0,False,11,3,8,False,Indicator evidence only; no final hydric/nonhydric label assigned.
34778,S2015KS161103,H,76,,0,False,11,3,8,False,Indicator evidence only; no final hydric/nonhydric label assigned.
34779,S2015KS161104,H,76,,0,False,11,3,8,False,Indicator evidence only; no final hydric/nonhydric label assigned.
34780,S2015KS161105,H,76,,0,False,11,3,8,False,Indicator evidence only; no final hydric/nonhydric label assigned.
34781,S2015KS161106,H,76,,0,False,11,3,8,False,Indicator evidence only; no final hydric/nonhydric label assigned.
34782,S2015KS161107,H,76,,0,False,11,6,5,False,Indicator evidence only; no final hydric/nonhydric label assigned.
34783,S2015KS161108,H,76,,0,False,11,3,8,False,Indicator evidence only; no final hydric/nonhydric label assigned.
34784,S2015KS161109,H,76,,0,False,11,3,8,False,Indicator evidence only; no final hydric/nonhydric label assigned.
34785,S2015KS161110,H,76,,0,False,11,3,8,False,Indicator evidence only; no final hydric/nonhydric label assigned.
34786,S2015KS161111,H,76,,0,False,11,6,5,False,Indicator evidence only; no final hydric/nonhydric label assigned.
34828,S2015CO075001,H,72,,0,False,11,3,8,False,Indicator evidence only; no final hydric/nonhydric label assigned.
34829,S2015CO075002,H,72,,0,False,11,3,8,False,Indicator evidence only; no final hydric/nonhydric label assigned.
34830,S2015CO075003,H,72,,0,False,11,3,8,False,Indicator evidence only; no final hydric/nonhydric label assigned.
34831,S2015CO075004,H,72,,0,False,11,3,8,False,Indicator evidence only; no final hydric/nonhydric label assigned.
34832,S2015CO075005,H,72,,0,False,11,3,8,False,Indicator evidence only; no final hydric/nonhydric label assigned.
34833,S2015CO075006,H,72,,0,False,11,3,8,False,Indicator evidence only; no final hydric/nonhydric label assigned.
34834,S2015CO075007,H,72,,0,False,11,3,8,False,Indicator evidence only; no final hydric/nonhydric label assigned.
34835,S2015CO075008,H,72,,0,False,11,3,8,False,Indicator evidence only; no final hydric/nonhydric label assigned.
34836,S2015CO075009,H,72,,0,False,11,3,8,False,Indicator evidence only; no final hydric/nonhydric label assigned.
34837,S2015CO075010,H,72,,0,False,11,3,8,False,Indicator evidence only; no final hydric/nonhydric label assigned.
34838,S2015CO075011,H,72,,0,False,11,3,8,False,Indicator evidence only; no final hydric/nonhydric label assigned.
34938,S2015ND093009,F,53B,,0,False,11,6,5,False,Indicator evidence only; no final hydric/nonhydric label assigned.
34939,S2015ND093010,F,53B,,0,False,11,3,8,False,Indicator evidence only; no final hydric/nonhydric label assigned.
34940,S2015ND093013,F,53B,,0,False,11,1,10,False,Indicator evidence only; no final hydric/nonhydric label assigned.
34941,S2015ND093017,F,53B,,0,False,11,3,8,False,Indicator evidence only; no final hydric/nonhydric label assigned.
34942,S2015ND093019,F,53B,,0,False,11,9,2,False,Indicator evidence only; no final hydric/nonhydric label assigned.
34943,S2015ND093021,F,53B,,0,False,11,1,10,False,Indicator evidence only; no final hydric/nonhydric label assigned.
34944,S2015ND093022,F,53B,,0,False,11,1,10,False,Indicator evidence only; no final hydric/nonhydric label assigned.
34945,S2015ND093026,F,53B,,0,False,11,1,10,False,Indicator evidence only; no final hydric/nonhydric label assigned.
34946,S2015ND093028,F,53B,,0,False,11,1,10,False,Indicator evidence only; no final hydric/nonhydric label assigned.
34947,S2015ND093029,F,53B,,0,False,11,1,10,False,Indicator evidence only; no final hydric/nonhydric label assigned.
34948,S2015ND093030,F,53B,,0,False,11,1,10,False,Indicator evidence only; no final hydric/nonhydric label assigned.
34949,S2015ND093031,F,53B,,0,False,11,1,10,False,Indicator evidence only; no final hydric/nonhydric label assigned.
34950,S2015ND093032,F,53B,,0,False,11,3,8,False,Indicator evidence only; no final hydric/nonhydric label assigned.
34951,S2015ND093033,F,53B,,0,False,11,6,5,False,Indicator evidence only; no final hydric/nonhydric label assigned.
34952,S2015ND093034,F,53B,F2,1,True,11,2,8,False,Indicator evidence only; no final hydric/nonhydric label assigned.
35000,S2015AL063021,P,135A,,0,False,12,1,11,False,Indicator evidence only; no final hydric/nonhydric label assigned.
35001,S2015AL063001,P,135A,,0,False,12,1,11,False,Indicator evidence only; no final hydric/nonhydric label assigned.
35002,S2015AL063002,P,135A,,0,False,12,1,11,False,Indicator evidence only; no final hydric/nonhydric label assigned.
35003,S2015AL063003,P,135A,,0,False,12,1,11,False,Indicator evidence only; no final hydric/nonhydric label assigned.
35004,S2015AL063004,P,135A,,0,False,12,1,11,False,Indicator evidence only; no final hydric/nonhydric label assigned.
35005,S2015AL063005,P,135A,,0,False,12,1,11,False,Indicator evidence only; no final hydric/nonhydric label assigned.
35006,S2015AL063006,P,135A,,0,False,12,1,11,False,Indicator evidence only; no final hydric/nonhydric label assigned.
35007,S2015AL063007,P,135A,,0,False,12,1,11,False,Indicator evidence only; no final hydric/nonhydric label assigned.
35008,S2015AL063008,P,135A,,0,False,12,1,11,False,Indicator evidence only; no final hydric/nonhydric label assigned.
35009,S2015AL063009,P,135A,,0,False,12,1,11,False,Indicator evidence only; no final hydric/nonhydric label assigned.
35010,S2015AL063010,P,135A,,0,False,12,1,11,False,Indicator evidence only; no final hydric/nonhydric label assigned.
35011,S2015AL063011,P,135A,,0,False,12,1,11,False,Indicator evidence only; no final hydric/nonhydric label assigned.
35012,S2015AL063012,P,135A,,0,False,12,1,11,False,Indicator evidence only; no final hydric/nonhydric label assigned.
35013,S2015AL063013,P,135A,,0,False,12,1,11,False,Indicator evidence only; no final hydric/nonhydric label assigned.
35014,S2015AL063014,P,135A,,0,False,12,1,11,False,Indicator evidence only; no final hydric/nonhydric label assigned.
35015,S2015AL063015,P,135A,,0,False,12,1,11,False,Indicator evidence only; no final hydric/nonhydric label assigned.
35016,S2015AL063016,P,135A,,0,False,12,1,11,False,Indicator evidence only; no final hydric/nonhydric label assigned.
35017,S2015AL063017,P,135A,,0,False,12,1,11,False,Indicator evidence only; no final hydric/nonhydric label assigned.
