lims_pedon_id,user_pedon_id,latitude,longitude,LRR,MLRA,MLRA_ID,MLRA_NAME,LRR_NAME,LRR_MLRA_source,spatial_match_status
32683,S2014AZ019001,31.9086667,-110.8377778,D,40,40.0,Sonoran Basin and Range,Western Range and Irrigated Region,"USDA NRCS 2022 MLRA Geographic Database, version 5.2 (MLRA_52)",POINT_WITHIN_MLRA
33553,S2014KS161501,39.10354,-96.56356,H,76,91.0,Bluestem Hills,Central Great Plains Winter Wheat and Range Region,"USDA NRCS 2022 MLRA Geographic Database, version 5.2 (MLRA_52)",POINT_WITHIN_MLRA
33554,S2014KS161502,39.10071,-96.56225,H,76,91.0,Bluestem Hills,Central Great Plains Winter Wheat and Range Region,"USDA NRCS 2022 MLRA Geographic Database, version 5.2 (MLRA_52)",POINT_WITHIN_MLRA
35001,S2015AL063001,32.5347694,-87.8153,P,135A,187.0,Alabama and Mississippi Blackland Prairie,"South Atlantic and Gulf Slope Cash Crops, Forest, and Livestock Region","USDA NRCS 2022 MLRA Geographic Database, version 5.2 (MLRA_52)",POINT_WITHIN_MLRA
35002,S2015AL063002,32.5341667,-87.8172222,P,135A,187.0,Alabama and Mississippi Blackland Prairie,"South Atlantic and Gulf Slope Cash Crops, Forest, and Livestock Region","USDA NRCS 2022 MLRA Geographic Database, version 5.2 (MLRA_52)",POINT_WITHIN_MLRA
35003,S2015AL063003,32.5394444,-87.8144444,P,135A,187.0,Alabama and Mississippi Blackland Prairie,"South Atlantic and Gulf Slope Cash Crops, Forest, and Livestock Region","USDA NRCS 2022 MLRA Geographic Database, version 5.2 (MLRA_52)",POINT_WITHIN_MLRA
35004,S2015AL063004,32.5413889,-87.8127778,P,135A,187.0,Alabama and Mississippi Blackland Prairie,"South Atlantic and Gulf Slope Cash Crops, Forest, and Livestock Region","USDA NRCS 2022 MLRA Geographic Database, version 5.2 (MLRA_52)",POINT_WITHIN_MLRA
35005,S2015AL063005,32.5356222,-87.8082556,P,135A,187.0,Alabama and Mississippi Blackland Prairie,"South Atlantic and Gulf Slope Cash Crops, Forest, and Livestock Region","USDA NRCS 2022 MLRA Geographic Database, version 5.2 (MLRA_52)",POINT_WITHIN_MLRA
35006,S2015AL063006,32.53535,-87.8101,P,135A,187.0,Alabama and Mississippi Blackland Prairie,"South Atlantic and Gulf Slope Cash Crops, Forest, and Livestock Region","USDA NRCS 2022 MLRA Geographic Database, version 5.2 (MLRA_52)",POINT_WITHIN_MLRA
35007,S2015AL063007,32.535375,-87.8117306,P,135A,187.0,Alabama and Mississippi Blackland Prairie,"South Atlantic and Gulf Slope Cash Crops, Forest, and Livestock Region","USDA NRCS 2022 MLRA Geographic Database, version 5.2 (MLRA_52)",POINT_WITHIN_MLRA
