lims_pedon_id,user_pedon_id,latitude,longitude,areasymbol,mukey,musym,muname,likely_neon_site_code,lab_proj_name,submit_proj_name,nasis_taxon_name,nasis_taxonomy,candidate_component_count,candidate_components,match_confidence,match_evidence,alternatives_rejected,selected_cokey,selected_compname,selected_comppct_r,selected_majcompflag,selected_taxorder,selected_taxsuborder,selected_taxgrtgroup,selected_taxsubgrp,selected_taxpartsize,selected_localphase,selected_otherph,selected_drainagecl,selected_hydricrating,selected_hydric_criteria,selected_hydric_criteria_keys
23336,S2012MA027001,42.5356111,-72.1755556,MA614,278708,908C,"Becket-Skerry association, 0 to 15 percent slopes, extremely stony",,I2012USMA075,NEON MA 2012,"Henniker, taxadjunct","Coarse-loamy over sandy or sandy-skeletal, mixed, semiactive, frigid Oxyaquic Dystrudepts",6.0,Becket [27355513; 45%; No] | Skerry [27355516; 35%; No] | Pillsbury [27355514; 6%; Yes] | Berkshire [27355512; 5%; No] | Monadnock [27355515; 5%; No] | Tunbridge [27355511; 4%; No],UNMATCHED,No candidate has adequate name or taxonomic agreement.,All candidates lack sufficient correspondence to the sampled pedon.,,,,,,,,,,,,,,,
24186,S2012CO123001,40.8131111,-104.7443889,CO617,95132,4,"Ascalon fine sandy loam, 0 to 6 percent slopes",,I2012USCO086,NEON CO CPER,Ascalon,"Fine-loamy, mixed, superactive, mesic Aridic Argiustolls",3.0,Ascalon [26599030; 85%; No] | Olnest [26599031; 8%; No] | Otero [26599029; 7%; No],EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,Olnest (26599031): weaker name/taxonomy score -9.2; Otero (26599029): weaker name/taxonomy score -34.2,26599030,Ascalon,85,Yes,Mollisols,Ustolls,Argiustolls,Aridic Argiustolls,fine-loamy,,,Well drained,No,,
24847,S2012ND093001,47.158989,-99.239021,ND093,3312341,C24A,"Parnell silty clay loam, 0 to 1 percent slopes, Missouri Coteau",,I2012USND099,NEON ND Woodworth,Manning-Like,,7.0,Parnell [27720308; 64%; Yes] | Vallers [27720307; 10%; Yes] | Tonka [27720309; 10%; Yes] | Southam [27720310; 10%; Yes] | Hamerly [27720312; 3%; No] | Vallers [27720306; 2%; Yes] | Heil [27720311; 1%; Yes],UNMATCHED,No candidate has adequate name or taxonomic agreement.,All candidates lack sufficient correspondence to the sampled pedon.,,,,,,,,,,,,,,,
27999,S2012GA007001,31.1960694,-84.4664694,GA603,325176,TwB,"Troup sand, 0 to 5 percent slopes",,I2013USGA039,NEON GA Jones ERC,Uchee,"Loamy, kaolinitic, thermic Arenic Kanhapludults",1.0,Troup [26518286; 80%; No],MEDIUM,No name match; unique candidate supported by at least three taxonomic ranks.,,26518286,Troup,80,Yes,Ultisols,Udults,Kandiudults,Grossarenic Kandiudults,loamy,,,Somewhat excessively drained,No,,
28656,S2013VA043001,39.06013,-78.07135,VA043,516570,51B,"Timberville silt loam, 0 to 7 percent slopes, frequently flooded",,I2013USVA046,NEON VA Blandy,Poplimento,"Fine, mixed, subactive, mesic Ultic Hapludalfs",1.0,Timberville [27336680; 80%; No],UNMATCHED,No candidate has adequate name or taxonomic agreement.,All candidates lack sufficient correspondence to the sampled pedon.,,,,,,,,,,,,,,,
29041,S2013FL097001,28.1291889,-81.4339194,FL097,1483882,42,"Smyrna fine sand, 0 to 2 percent slopes",,I2013USFL055,NEON FL Disney Wilderness Preserve,,,6.0,Smyrna [26615078; 85%; No] | EauGallie [26615077; 5%; No] | Basinger [26615076; 4%; Yes] | Pomello [26615074; 2%; No] | Immokalee [26615075; 2%; No] | Placid [26615079; 2%; Yes],UNMATCHED,No candidate has adequate name or taxonomic agreement.,All candidates lack sufficient correspondence to the sampled pedon.,,,,,,,,,,,,,,,
29212,S2013OK149001,35.4105883,-99.0604367,OK149,2507761,CRoF,"Cordell-Rock outcrop complex, 1 to 20 percent slopes",,I2013USOK059,NEON OK Klemme,Cordell Like,,3.0,Cordell [26781253; 59%; No] | Rock outcrop [26781254; 25%; No] | Obaro [26781255; 16%; No],AMBIGUOUS,Multiple plausible candidates remain without a decisive name/taxonomy margin.,No plausible alternative rejected.,,,,,,,,,,,,,,,
29547,S2013NM013001,32.5905056,-106.8437694,NM690,634579,OP,Onite-Pajarito association,,I2013USNM064,NEON NM Jornada,Nations,"Coarse-loamy, mixed, superactive, thermic Typic Petrocalcids",8.0,Onite [27479715; 40%; No] | Pajarito [27479716; 30%; No] | Pintura [27479717; 15%; No] | Dona Ana [27479718; 3%; No] | Berino [27479719; 3%; No] | Simona [27479720; 3%; No] | Harrisburg [27479721; 3%; No] | Wink [27479722; 3%; No],AMBIGUOUS,Multiple plausible candidates remain without a decisive name/taxonomy margin.,No plausible alternative rejected.,,,,,,,,,,,,,,,
30209,S2013CO075001,40.4598333,-103.0300833,CO075,94489,126,"Weld loam, 1 to 3 percent slopes",,I2013USCO077,NEON CO Logan ,Goshen,"Fine-silty, mixed, superactive, mesic Pachic Argiustolls",5.0,Weld [26570815; 80%; No] | Adena [26570814; 8%; No] | Colby [26570811; 7%; No] | Keith [26570812; 3%; No] | Baca [26570813; 2%; No],AMBIGUOUS,Multiple plausible candidates remain without a decisive name/taxonomy margin.,No plausible alternative rejected.,,,,,,,,,,,,,,,
30342,S2013AL063001,32.541,-87.8031667,AL063,329668,LF,Leaf-Angie association,,I2013USAL083,NEON AL Dead Lake,Angie,"Fine, mixed, semiactive, thermic Aquic Paleudults",2.0,Leaf [27276264; 41%; Yes] | Angie [27276263; 39%; No],EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,Leaf (27276264): weaker name/taxonomy score -12.2,27276263,Angie,39,Yes,Ultisols,Udults,Hapludults,Aquic Hapludults,clayey,,,Moderately well drained,No,,
