lims_pedon_id,user_pedon_id,LRR,MLRA,approved_indicators_present,number_approved_indicators_present,has_at_least_one_approved_indicator_present,number_applicable_priority_indicators,number_not_demonstrated,number_insufficient_information,all_applicable_indicators_insufficient_information,interpretation,likely_neon_site_code,areasymbol,mukey,musym,muname,nasis_taxon_name,nasis_taxonomy,match_confidence,match_evidence,selected_cokey,selected_compname,selected_comppct_r,selected_majcompflag,selected_drainagecl,selected_hydricrating,selected_hydric_criteria,ssurgo_hydric_rating,high_confidence_ssurgo_match,ssurgo_hydric_yes,ssurgo_hydric_no,field_indicator_present,has_explicit_negative_morphology_evidence,complete_priority_indicator_evaluation,evidence_class,core_reference_cohort,conflict_flag
24847,S2012ND093001,F,53B,,0,False,11,0,11,True,Indicator evidence only; no final hydric/nonhydric label assigned.,,ND093,3312341.0,C24A,"Parnell silty clay loam, 0 to 1 percent slopes, Missouri Coteau",Manning-Like,,UNMATCHED,No candidate has adequate name or taxonomic agreement.,,,,,,,,,False,False,False,False,False,False,LINKAGE_UNRESOLVED,False,False
34938,S2015ND093009,F,53B,,0,False,11,6,5,False,Indicator evidence only; no final hydric/nonhydric label assigned.,,ND093,2661634.0,C135D,"Zahl-Williams loams, 9 to 15 percent slopes",Zahl,"Fine-loamy, mixed, active, frigid Typic Calciustolls",EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,27719303.0,Zahl,41.0,Yes,Well drained,No,,no,True,False,True,False,True,False,PARTIAL_NEGATIVE_SUPPORT,False,False
34939,S2015ND093010,F,53B,,0,False,11,3,8,False,Indicator evidence only; no final hydric/nonhydric label assigned.,,ND093,2566841.0,C819B,"Lehr-Wabek loams, 2 to 6 percent slopes",Wabek,"Loamy-skeletal, mixed, frigid Entic Haplustolls",EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,27719366.0,Wabek,35.0,Yes,Excessively drained,No,,no,True,False,True,False,True,False,PARTIAL_NEGATIVE_SUPPORT,False,False
34940,S2015ND093013,F,53B,,0,False,11,1,10,False,Indicator evidence only; no final hydric/nonhydric label assigned.,,ND093,2566846.0,C156F,"Zahl-Max-Bowbells loams, 6 to 35 percent slopes",Typic Caciaquoll,"Fine, smectitic, frigid Typic Calciaquolls",AMBIGUOUS,Multiple plausible candidates remain without a decisive name/taxonomy margin.,,,,,,,,,False,False,False,False,True,False,LINKAGE_UNRESOLVED,False,False
34941,S2015ND093017,F,53B,,0,False,11,3,8,False,Indicator evidence only; no final hydric/nonhydric label assigned.,,ND093,2595591.0,C870E,"Wabek-Lehr-Appam complex, 9 to 25 percent slopes",Schaller,"Sandy, mixed, frigid Entic Haplustolls",AMBIGUOUS,Multiple plausible candidates remain without a decisive name/taxonomy margin.,,,,,,,,,False,False,False,False,True,False,LINKAGE_UNRESOLVED,False,False
34942,S2015ND093019,F,53B,,0,False,11,9,2,False,Indicator evidence only; no final hydric/nonhydric label assigned.,,ND093,2566844.0,C165F,"Zahl-Max-Parnell complex, 0 to 35 percent slopes",Max,"Fine-loamy, mixed, active, frigid Typic Haplustolls",EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,27720396.0,Max,26.0,Yes,Well drained,No,,no,True,False,True,False,True,False,PARTIAL_NEGATIVE_SUPPORT,False,False
34943,S2015ND093021,F,53B,,0,False,11,1,10,False,Indicator evidence only; no final hydric/nonhydric label assigned.,,ND093,2566844.0,C165F,"Zahl-Max-Parnell complex, 0 to 35 percent slopes",Colvin,"Fine-silty, mixed, superactive, frigid Typic Calciaquolls",AMBIGUOUS,Multiple plausible candidates remain without a decisive name/taxonomy margin.,,,,,,,,,False,False,False,False,True,False,LINKAGE_UNRESOLVED,False,False
34944,S2015ND093022,F,53B,,0,False,11,1,10,False,Indicator evidence only; no final hydric/nonhydric label assigned.,,ND093,2566829.0,C132C,"Williams-Zahl-Zahill complex, 6 to 9 percent slopes",Southam,"Fine, smectitic, calcareous, frigid Vertic Endoaquolls",AMBIGUOUS,Multiple plausible candidates remain without a decisive name/taxonomy margin.,,,,,,,,,False,False,False,False,True,False,LINKAGE_UNRESOLVED,False,False
34945,S2015ND093026,F,53B,,0,False,11,1,10,False,Indicator evidence only; no final hydric/nonhydric label assigned.,,ND093,3312341.0,C24A,"Parnell silty clay loam, 0 to 1 percent slopes, Missouri Coteau",Parnell,"Fine, smectitic, frigid Vertic Argiaquolls",EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,27720308.0,Parnell,64.0,Yes,Very poorly drained,Yes,2; 3,yes,True,True,False,False,True,False,SSURGO_POSITIVE_MORPH_NOT_DEMONSTRATED,False,False
34946,S2015ND093028,F,53B,,0,False,11,1,10,False,Indicator evidence only; no final hydric/nonhydric label assigned.,,ND093,3312344.0,C26A,"Tonka-Parnell complex, 0 to 1 percent slopes, Missouri Coteau",Parnell,"Fine, smectitic, frigid Vertic Argiaquolls",EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,27720298.0,Parnell,22.0,Yes,Very poorly drained,Yes,2; 3,yes,True,True,False,False,True,False,SSURGO_POSITIVE_MORPH_NOT_DEMONSTRATED,False,False
