user_pedon_id,nasis_horizon_sequence,horizon_designation,top_depth_cm,bottom_depth_cm,thickness_cm,field_texture,matrix_color_raw,matrix_color_name,matrix_munsell,matrix_hue,matrix_value,matrix_chroma,color_moisture_status,dry_munsell,moist_munsell,redox_raw,redox_feature_type,redox_concentration_rendered,redox_depletion_rendered,redox_percentages,redox_percentage_max,redox_abundance,redox_size,redox_contrast,redox_location,reduced_matrix_rendered,gley_rendered,wetness_morphology_raw,organic_horizon_or_material_rendered,raw_horizon_description
S2012ND093001,1,A,0.0,6.0,6.0,loam,"black (10YR 2/1), very dark gray (10YR 3/1), dry",very dark gray,10YR 3/1,10YR,3.0,1.0,,,,,,,,,,,,,,,,,,"A—0 to 6 centimeters (0.0 to 2.4 inches); black (10YR 2/1), very dark gray (10YR 3/1), dry; loam; 24 percent clay; weak fine granular structure; soft, very friable, slightly sticky, slightly plastic; many very fine roots throughout and few fine roots throughout; few very fine dendritic tubular pores; 3 percent by volume nonflat 2-?-5 millimeter mixed fragments; noneffervescent, by hcl, 1n; abrupt smooth boundary. Lab sample # 12N05021; dry when described; observed in pit, large or quarry"
S2012ND093001,2,Ap,6.0,16.0,10.0,loam,"black (10YR 2/1), very dark grayish brown (10YR 3/2), dry",very dark grayish brown,10YR 3/2,10YR,3.0,2.0,,,,,,,,,,,,,,,,,,"Ap—6 to 16 centimeters (2.4 to 6.3 inches); black (10YR 2/1), very dark grayish brown (10YR 3/2), dry; loam; 24 percent clay; weak medium prismatic parts to moderate medium subangular blocky structure; slightly hard, friable, slightly sticky, slightly plastic; common very fine roots throughout and common fine roots throughout; many very fine dendritic tubular pores; 6 percent by volume nonflat 2-?-5 millimeter mixed fragments; noneffervescent, by hcl, 1n; abrupt smooth boundary. Lab sample # 12N05022; dry when described; observed in pit, large or quarry"
S2012ND093001,3,2Bw,16.0,32.0,16.0,very gravelly sandy loam,"very dark brown (10YR 2/2), dark brown (10YR 3/3), dry",dark brown,10YR 3/3,10YR,3.0,3.0,,,,,,,,,,,,,,,,,,"2Bw—16 to 32 centimeters (6.3 to 12.6 inches); very dark brown (10YR 2/2), dark brown (10YR 3/3), dry; very gravelly sandy loam; 11 percent clay; loose, loose, nonsticky, nonplastic; common very fine roots throughout; 10 percent distinct irregular carbonate concretions with clear boundaries on bottom of rock fragments; 50 percent by volume nonflat 2-?-75 millimeter mixed fragments; noneffervescent, by hcl, 1n; clear wavy boundary. Lab sample # 12N05023; dry when described; observed in pit, large or quarry"
S2012ND093001,4,2Bk1,32.0,58.0,26.0,very gravelly loamy sand,"dark brown (10YR 3/3), brown (10YR 4/3), dry",brown,10YR 4/3,10YR,4.0,3.0,,,,,,,,,,,,,,,,,,"2Bk1—32 to 58 centimeters (12.6 to 22.8 inches); dark brown (10YR 3/3), brown (10YR 4/3), dry; very gravelly loamy sand; 3 percent clay; loose, loose, nonsticky, nonplastic; few very fine roots throughout; 5 percent distinct irregular carbonate concretions on bottom of rock fragments; 55 percent by volume nonflat 2-?-75 millimeter mixed fragments; strong effervescence, by hcl, 1n; clear wavy boundary. Lab sample # 12N05024; dry when described; observed in pit, large or quarry"
S2012ND093001,5,2Bk2,58.0,92.0,34.0,very gravelly loamy sand,"olive brown (2.5Y 4/3), light yellowish brown (2.5Y 6/3), dry",light yellowish brown,2.5Y 6/3,2.5Y,6.0,3.0,,,,,,,,,,,,,,,,,,"2Bk2—58 to 92 centimeters (22.8 to 36.2 inches); olive brown (2.5Y 4/3), light yellowish brown (2.5Y 6/3), dry; very gravelly loamy sand; 3 percent clay; loose, loose, nonsticky, nonplastic; few very fine roots throughout; 5 percent distinct irregular carbonate concretions on bottom of rock fragments; 60 percent by volume nonflat 2-?-10 millimeter mixed fragments; violent effervescence, by hcl, 1n; clear wavy boundary. Lab sample # 12N05025; dry when described; observed in pit, large or quarry"
S2012ND093001,6,2BCk,92.0,133.0,41.0,very gravelly sand,"60 percent dark brown (7.5YR 3/4) and 40 percent brown (10YR 4/3), 60 percent brown (7.5YR 4/4) and 40 percent brown (10YR 5/3), dry",percent brown,10YR 5/3,10YR,5.0,3.0,,,,,,,,,,,,,,,,,,"2BCk—92 to 133 centimeters (36.2 to 52.4 inches); 60 percent dark brown (7.5YR 3/4) and 40 percent brown (10YR 4/3), 60 percent brown (7.5YR 4/4) and 40 percent brown (10YR 5/3), dry; very gravelly sand; loose, loose, nonsticky, nonplastic; few very fine roots throughout; 10 percent distinct irregular carbonate concretions on bottom of rock fragments; 40 percent by volume nonflat 2-?-75 millimeter mixed fragments; slight effervescence, by hcl, 1n; clear wavy boundary. Lab sample # 12N05026; dry when described; observed in pit, large or quarry"
S2012ND093001,7,2C,133.0,190.0,57.0,very gravelly sand,"60 percent dark brown (7.5YR 3/4) and 40 percent brown (10YR 4/3), 60 percent brown (7.5YR 4/4) and 40 percent brown (10YR 5/3), dry",percent brown,10YR 5/3,10YR,5.0,3.0,,,,,,,,,,,,,,,,,,"2C—133 to 190 centimeters (52.4 to 74.8 inches); 60 percent dark brown (7.5YR 3/4) and 40 percent brown (10YR 4/3), 60 percent brown (7.5YR 4/4) and 40 percent brown (10YR 5/3), dry; very gravelly sand; loose, loose, nonsticky, nonplastic; 25 percent by volume nonflat 75-?-250 millimeter mixed fragments and 30 percent by volume nonflat 2-?-75 millimeter mixed fragments; very slight effervescence, by hcl, 1n. Lab sample # 12N05027; dry when described; observed in pit, large or quarry"
S2015ND093009,1,A,0.0,20.0,20.0,loam,"very dark grayish brown (10YR 3/2), very dark brown (10YR 2/2), moist",very dark brown,10YR 2/2,10YR,2.0,2.0,moist,10YR 3/2,10YR 2/2,,,,,,,,,,,,,,,"A—0 to 20 centimeters (0.0 to 7.9 inches); very dark grayish brown (10YR 3/2), very dark brown (10YR 2/2), moist; loam; moderate fine granular structure; slightly hard, friable, slightly sticky, slightly plastic; moderate permeability; common fine roots throughout; 1 percent by volume nonflat subangular indurated 75-150-250 millimeter mixed fragments observed by visual inspection method and 3 percent by volume nonflat subangular indurated 2-40-75 millimeter mixed fragments observed by visual inspection method; slight effervescence, by hcl, 1n; clear wavy boundary. Lab sample # 16N01585; moist when described; observed in pit, small"
S2015ND093009,2,Bk1,20.0,36.0,16.0,clay loam,"dark grayish brown (2.5Y 4/2), dark olive brown (2.5Y 3/3), moist",dark olive brown,2.5Y 3/3,2.5Y,3.0,3.0,moist,2.5Y 4/2,2.5Y 3/3,,,,,,,,,,,,,,,"Bk1—20 to 36 centimeters (7.9 to 14.2 inches); dark grayish brown (2.5Y 4/2), dark olive brown (2.5Y 3/3), moist; clay loam; moderate medium prismatic parts to moderate medium subangular blocky structure; hard, firm, slightly sticky, slightly plastic; moderately slow permeability; common very fine roots throughout and common fine roots throughout; carbonate, finely disseminated; 1 percent by volume nonflat subangular indurated 75-150-250 millimeter mixed fragments observed by visual inspection method and 5 percent by volume nonflat subangular indurated 2-40-75 millimeter mixed fragments observed by visual inspection method; strong effervescence, by hcl, 1n; clear wavy boundary. Lab sample # 16N01586; moist when described; observed in pit, small"
S2015ND093009,3,Bk2,36.0,63.0,27.0,clay loam,"light olive brown (2.5Y 5/3), olive brown (2.5Y 4/3), moist",olive brown,2.5Y 4/3,2.5Y,4.0,3.0,moist,2.5Y 5/3,2.5Y 4/3,,,,,,,,,,,,,,,"Bk2—36 to 63 centimeters (14.2 to 24.8 inches); light olive brown (2.5Y 5/3), olive brown (2.5Y 4/3), moist; clay loam; moderate coarse prismatic parts to moderate coarse subangular blocky structure; hard, firm, slightly sticky, slightly plastic; moderately slow permeability; few fine roots throughout; 10 percent faint clay films on all faces of peds; 5 percent fine irregular noncoherent cemented carbonate masses in matrix and 10 percent medium irregular noncoherent cemented carbonate masses in matrix; 2 percent by volume nonflat subangular indurated 75-150-250 millimeter mixed fragments observed by visual inspection method and 5 percent by volume nonflat subangular indurated 2-40-75 millimeter mixed fragments observed by visual inspection method; violent effervescence, by hcl, 1n; gradual wavy boundary. Lab sample # 16N01587; dry when described; observed in pit, small. patchy - phpvsfiid 1142308; patchy - phpvsfiid 1142308"
