lay_id,layer_key,proj_id,lims_site_id,lims_pedon_id,lay_rpt_seq_num,lay_type,top_depth_cm,bottom_depth_cm,horizon_designation,horz_desgn_master,texture_description,texture_desc_abbrev,smp_id,smp_type,smp_condition,smp_status,samples_per_layer,user_site_id,horizontal_datum_name,latitude,longitude,coordinate_source,pedon_key,user_pedon_id,observation_date_id,pedon_status,lab_proj_name,project_focus,fiscal_year,project_source,proj_type,proj_status,taxon_name,taxonomic_order,taxonomic_suborder,taxonomic_great_group,country,county,state,mir_master_count,mir_scan_count,mir_passed_scan_count,mir_blank_qc_count,mir_first_scan_date,mir_last_scan_date,layer_thickness_cm,layer_midpoint_cm,surface_or_near_surface,depth_class,al_dithionite_pct,al_oxalate_pct,bulk_density_ovendry_g_cm3,bulk_density_third_bar_g_cm3,carbonate_pct,cec_nh4oac_cmol_kg,clay_pct,estimated_organic_carbon_pct,fe_dithionite_pct,fe_oxalate_pct,ph_cacl2,ph_water,sand_pct,silt_pct,total_carbon_pct,total_nitrogen_pct,total_sulfur_pct,water_retention_15bar_pct,water_retention_third_bar_pct,qc_flag_count,user_pedon_id_crosswalk,join_confidence,join_basis,nasis_horizon_row,nasis_user_pedon_id,nasis_nasis_horizon_sequence,nasis_horizon_designation,nasis_top_depth_cm,nasis_bottom_depth_cm,nasis_thickness_cm,nasis_field_texture,nasis_matrix_color_raw,nasis_matrix_color_name,nasis_matrix_munsell,nasis_matrix_hue,nasis_matrix_value,nasis_matrix_chroma,nasis_color_moisture_status,nasis_dry_munsell,nasis_moist_munsell,nasis_redox_raw,nasis_redox_feature_type,nasis_redox_concentration_rendered,nasis_redox_depletion_rendered,nasis_redox_percentages,nasis_redox_percentage_max,nasis_redox_abundance,nasis_redox_size,nasis_redox_contrast,nasis_redox_location,nasis_reduced_matrix_rendered,nasis_gley_rendered,nasis_wetness_morphology_raw,nasis_organic_horizon_or_material_rendered,nasis_raw_horizon_description,lab_fe_dith__analyte_66,lab_fe_mjelm__analyte_671,lab_fe_ox__analyte_60,lab_fe_pyp__analyte_73,lab_mn_dith__analyte_67,lab_mn_kcl__analyte_70,lab_mn_mjelm__analyte_673,lab_mn_ox__analyte_61,lab_mn_pyp__analyte_74,lab_mn_trelm__analyte_685,nasis_drainage_class,nasis_flooding,nasis_ponding,nasis_taxonomy,nasis_current_correlated_soil_name,nasis_certified_lab_pedon_description,nasis_record_origin
89519,12N05021,4498,20689,24847,1,horizon,0.0,6.0,AO,,Loam,L,187674,bulk,normal,submitted,1,S2012ND093001,,47.158989,-99.239021,standardized,12N8337,S2012ND093001,,not started,I2012USND099,NEON ND Woodworth,2012,NEON,investigation,completed,Manning,mollisols,ustolls,haplustolls,United States,Stutsman,North Dakota,4,4,4.0,0.0,2013-06-05 09:36:50,2013-06-05 09:39:16,6.0,3.0,True,0-10,,,,,,27.8883074,,5.63,,,,,,,5.62854456,0.46648788,0.09411598,,,0,S2012ND093001,HIGH,Top/bottom depths agree; designation differs,23.0,S2012ND093001,1.0,A,0.0,6.0,6.0,loam,"black (10YR 2/1), very dark gray (10YR 3/1), dry",very dark gray,10YR 3/1,10YR,3.0,1.0,,,,,,,,,,,,,,,,,,"A—0 to 6 centimeters (0.0 to 2.4 inches); black (10YR 2/1), very dark gray (10YR 3/1), dry; loam; 24 percent clay; weak fine granular structure; soft, very friable, slightly sticky, slightly plastic; many very fine roots throughout and few fine roots throughout; few very fine dendritic tubular pores; 3 percent by volume nonflat 2-?-5 millimeter mixed fragments; noneffervescent, by hcl, 1n; abrupt smooth boundary. Lab sample # 12N05021; dry when described; observed in pit, large or quarry",,20536.249181,,,,,1288.331089,,,,somewhat excessively,none flooding,none ponding,,Manning-Like,no,Pedon PC 5.0
89520,12N05022,4498,20689,24847,2,horizon,6.0,16.0,Ap,A,Loam,L,187675,bulk,normal,submitted,1,S2012ND093001,,47.158989,-99.239021,standardized,12N8337,S2012ND093001,,not started,I2012USND099,NEON ND Woodworth,2012,NEON,investigation,completed,Manning,mollisols,ustolls,haplustolls,United States,Stutsman,North Dakota,4,4,4.0,0.0,2013-06-05 09:40:03,2013-06-05 09:42:27,10.0,11.0,True,10-30,,,,,1.043887,19.1485353,,2.4352,,,,,,,2.5579286,0.22079177,0.02340189,,,0,S2012ND093001,EXACT,Designation and top/bottom depths agree,24.0,S2012ND093001,2.0,Ap,6.0,16.0,10.0,loam,"black (10YR 2/1), very dark grayish brown (10YR 3/2), dry",very dark grayish brown,10YR 3/2,10YR,3.0,2.0,,,,,,,,,,,,,,,,,,"Ap—6 to 16 centimeters (2.4 to 6.3 inches); black (10YR 2/1), very dark grayish brown (10YR 3/2), dry; loam; 24 percent clay; weak medium prismatic parts to moderate medium subangular blocky structure; slightly hard, friable, slightly sticky, slightly plastic; common very fine roots throughout and common fine roots throughout; many very fine dendritic tubular pores; 6 percent by volume nonflat 2-?-5 millimeter mixed fragments; noneffervescent, by hcl, 1n; abrupt smooth boundary. Lab sample # 12N05022; dry when described; observed in pit, large or quarry",,21886.461214,,,,,1660.646111,,,,somewhat excessively,none flooding,none ponding,,Manning-Like,no,Pedon PC 5.0
89521,12N05023,4498,20689,24847,3,horizon,16.0,32.0,2Bw,B,Very gravelly Sandy loam,GRV-SL,187676,bulk,normal,submitted,1,S2012ND093001,,47.158989,-99.239021,standardized,12N8337,S2012ND093001,,not started,I2012USND099,NEON ND Woodworth,2012,NEON,investigation,completed,Manning,mollisols,ustolls,haplustolls,United States,Stutsman,North Dakota,4,4,4.0,0.0,2013-06-05 09:43:14,2013-06-05 09:45:39,16.0,24.0,False,10-30,,,,,12.552281,11.9150628,,1.574,,,,,,,3.08170046,0.16491043,0.01719925,,,0,S2012ND093001,EXACT,Designation and top/bottom depths agree,25.0,S2012ND093001,3.0,2Bw,16.0,32.0,16.0,very gravelly sandy loam,"very dark brown (10YR 2/2), dark brown (10YR 3/3), dry",dark brown,10YR 3/3,10YR,3.0,3.0,,,,,,,,,,,,,,,,,,"2Bw—16 to 32 centimeters (6.3 to 12.6 inches); very dark brown (10YR 2/2), dark brown (10YR 3/3), dry; very gravelly sandy loam; 11 percent clay; loose, loose, nonsticky, nonplastic; common very fine roots throughout; 10 percent distinct irregular carbonate concretions with clear boundaries on bottom of rock fragments; 50 percent by volume nonflat 2-?-75 millimeter mixed fragments; noneffervescent, by hcl, 1n; clear wavy boundary. Lab sample # 12N05023; dry when described; observed in pit, large or quarry",,26189.506573,,,,,2063.86518,,,,somewhat excessively,none flooding,none ponding,,Manning-Like,no,Pedon PC 5.0
89522,12N05024,4498,20689,24847,4,horizon,32.0,58.0,2Bk1,B,Very gravelly Loamy sand,GRV-LS,187677,bulk,normal,submitted,1,S2012ND093001,,47.158989,-99.239021,standardized,12N8337,S2012ND093001,,not started,I2012USND099,NEON ND Woodworth,2012,NEON,investigation,completed,Manning,mollisols,ustolls,haplustolls,United States,Stutsman,North Dakota,4,4,4.0,0.0,2016-12-28 13:10:20,2016-12-28 13:10:20,26.0,45.0,False,30-60,,,,,22.596277,5.5880139,,0.538,,,,,,,3.25260301,0.08858838,0.0070468,,,0,S2012ND093001,EXACT,Designation and top/bottom depths agree,26.0,S2012ND093001,4.0,2Bk1,32.0,58.0,26.0,very gravelly loamy sand,"dark brown (10YR 3/3), brown (10YR 4/3), dry",brown,10YR 4/3,10YR,4.0,3.0,,,,,,,,,,,,,,,,,,"2Bk1—32 to 58 centimeters (12.6 to 22.8 inches); dark brown (10YR 3/3), brown (10YR 4/3), dry; very gravelly loamy sand; 3 percent clay; loose, loose, nonsticky, nonplastic; few very fine roots throughout; 5 percent distinct irregular carbonate concretions on bottom of rock fragments; 55 percent by volume nonflat 2-?-75 millimeter mixed fragments; strong effervescence, by hcl, 1n; clear wavy boundary. Lab sample # 12N05024; dry when described; observed in pit, large or quarry",,23464.987819,,,,,1499.198316,,,,somewhat excessively,none flooding,none ponding,,Manning-Like,no,Pedon PC 5.0
89523,12N05025,4498,20689,24847,5,horizon,58.0,92.0,2Bk2,B,Very gravelly Loamy sand,GRV-LS,187678,bulk,normal,submitted,1,S2012ND093001,,47.158989,-99.239021,standardized,12N8337,S2012ND093001,,not started,I2012USND099,NEON ND Woodworth,2012,NEON,investigation,completed,Manning,mollisols,ustolls,haplustolls,United States,Stutsman,North Dakota,4,4,4.0,0.0,2013-06-05 09:49:38,2013-06-05 09:52:03,34.0,75.0,False,60-100,,,,,27.557117,3.653777,,0.0028,,,,,,,3.31025062,0.02512333,0.0,,,0,S2012ND093001,EXACT,Designation and top/bottom depths agree,27.0,S2012ND093001,5.0,2Bk2,58.0,92.0,34.0,very gravelly loamy sand,"olive brown (2.5Y 4/3), light yellowish brown (2.5Y 6/3), dry",light yellowish brown,2.5Y 6/3,2.5Y,6.0,3.0,,,,,,,,,,,,,,,,,,"2Bk2—58 to 92 centimeters (22.8 to 36.2 inches); olive brown (2.5Y 4/3), light yellowish brown (2.5Y 6/3), dry; very gravelly loamy sand; 3 percent clay; loose, loose, nonsticky, nonplastic; few very fine roots throughout; 5 percent distinct irregular carbonate concretions on bottom of rock fragments; 60 percent by volume nonflat 2-?-10 millimeter mixed fragments; violent effervescence, by hcl, 1n; clear wavy boundary. Lab sample # 12N05025; dry when described; observed in pit, large or quarry",,20784.931974,,,,,1780.521903,,,,somewhat excessively,none flooding,none ponding,,Manning-Like,no,Pedon PC 5.0
89524,12N05026,4498,20689,24847,6,horizon,92.0,133.0,2BCk,BC,Very gravelly Sand,GRV-S,187679,bulk,normal,submitted,1,S2012ND093001,,47.158989,-99.239021,standardized,12N8337,S2012ND093001,,not started,I2012USND099,NEON ND Woodworth,2012,NEON,investigation,completed,Manning,mollisols,ustolls,haplustolls,United States,Stutsman,North Dakota,4,4,4.0,0.0,2013-06-05 09:52:52,2013-06-05 09:55:16,41.0,112.5,False,>100,,,,,24.635169,2.9606583,,-0.0867999,,,,,,,2.8664064,0.00503231,0.00301939,,,0,S2012ND093001,EXACT,Designation and top/bottom depths agree,28.0,S2012ND093001,6.0,2BCk,92.0,133.0,41.0,very gravelly sand,"60 percent dark brown (7.5YR 3/4) and 40 percent brown (10YR 4/3), 60 percent brown (7.5YR 4/4) and 40 percent brown (10YR 5/3), dry",percent brown,10YR 5/3,10YR,5.0,3.0,,,,,,,,,,,,,,,,,,"2BCk—92 to 133 centimeters (36.2 to 52.4 inches); 60 percent dark brown (7.5YR 3/4) and 40 percent brown (10YR 4/3), 60 percent brown (7.5YR 4/4) and 40 percent brown (10YR 5/3), dry; very gravelly sand; loose, loose, nonsticky, nonplastic; few very fine roots throughout; 10 percent distinct irregular carbonate concretions on bottom of rock fragments; 40 percent by volume nonflat 2-?-75 millimeter mixed fragments; slight effervescence, by hcl, 1n; clear wavy boundary. Lab sample # 12N05026; dry when described; observed in pit, large or quarry",,29814.352446,,,,,1680.664249,,,,somewhat excessively,none flooding,none ponding,,Manning-Like,no,Pedon PC 5.0
89525,12N05027,4498,20689,24847,7,horizon,133.0,200.0,2C,C,Very gravelly Sand,GRV-S,187680,bulk,normal,submitted,1,S2012ND093001,,47.158989,-99.239021,standardized,12N8337,S2012ND093001,,not started,I2012USND099,NEON ND Woodworth,2012,NEON,investigation,completed,Manning,mollisols,ustolls,haplustolls,United States,Stutsman,North Dakota,4,4,4.0,0.0,2013-06-05 09:56:04,2013-06-05 09:58:30,67.0,166.5,False,>100,,,,,15.54943,4.0821554,,0.064,,,,,,,1.93087209,0.0,0.00605922,,,0,S2012ND093001,HIGH,Designation and profile sequence agree,29.0,S2012ND093001,7.0,2C,133.0,190.0,57.0,very gravelly sand,"60 percent dark brown (7.5YR 3/4) and 40 percent brown (10YR 4/3), 60 percent brown (7.5YR 4/4) and 40 percent brown (10YR 5/3), dry",percent brown,10YR 5/3,10YR,5.0,3.0,,,,,,,,,,,,,,,,,,"2C—133 to 190 centimeters (52.4 to 74.8 inches); 60 percent dark brown (7.5YR 3/4) and 40 percent brown (10YR 4/3), 60 percent brown (7.5YR 4/4) and 40 percent brown (10YR 5/3), dry; very gravelly sand; loose, loose, nonsticky, nonplastic; 25 percent by volume nonflat 75-?-250 millimeter mixed fragments and 30 percent by volume nonflat 2-?-75 millimeter mixed fragments; very slight effervescence, by hcl, 1n. Lab sample # 12N05027; dry when described; observed in pit, large or quarry",,40865.855502,,,,,1442.153418,,,,somewhat excessively,none flooding,none ponding,,Manning-Like,no,Pedon PC 5.0
172895,16N01585,4878,28773,34938,1,horizon,0.0,20.0,A,A,Loam,L,242076,bulk,normal,submitted,1,S2015ND093009,WGS84,47.144874,-99.233198,standardized,16N0383,S2015ND093009,,not started,C2016USND034,Site_C NEON ND Stutsman Co.,2016,NEON,characterization,completed,Zahl,mollisols,ustolls,calciustolls,United States,Stutsman,North Dakota,4,4,4.0,0.0,2016-04-09 14:49:19,2016-04-09 14:49:20,20.0,10.0,True,10-30,0.0271105,0.09377844,1.65085652,1.39735603,10.110765,21.636701,30.8702488,2.6968,0.7413414,0.10935591,7.51,7.85,38.8,30.3,3.90838456,0.26840464,0.02477581,15.2,23.4069513,0,S2015ND093009,EXACT,Designation and top/bottom depths agree,587.0,S2015ND093009,1.0,A,0.0,20.0,20.0,loam,"very dark grayish brown (10YR 3/2), very dark brown (10YR 2/2), moist",very dark brown,10YR 2/2,10YR,2.0,2.0,moist,10YR 3/2,10YR 2/2,,,,,,,,,,,,,,,"A—0 to 20 centimeters (0.0 to 7.9 inches); very dark grayish brown (10YR 3/2), very dark brown (10YR 2/2), moist; loam; moderate fine granular structure; slightly hard, friable, slightly sticky, slightly plastic; moderate permeability; common fine roots throughout; 1 percent by volume nonflat subangular indurated 75-150-250 millimeter mixed fragments observed by visual inspection method and 3 percent by volume nonflat subangular indurated 2-40-75 millimeter mixed fragments observed by visual inspection method; slight effervescence, by hcl, 1n; clear wavy boundary. Lab sample # 16N01585; moist when described; observed in pit, small",0.7413414,,0.10935591,,0.0332284,,,384.7320782,,,well,,,"Fine-loamy, mixed, active, frigid Typic Calciustolls",Zahl,yes,NASIS
172896,16N01586,4878,28773,34938,2,horizon,20.0,36.0,Bk1,B,Clay loam,CL,242077,bulk,normal,submitted,1,S2015ND093009,WGS84,47.144874,-99.233198,standardized,16N0383,S2015ND093009,,not started,C2016USND034,Site_C NEON ND Stutsman Co.,2016,NEON,characterization,completed,Zahl,mollisols,ustolls,calciustolls,United States,Stutsman,North Dakota,4,4,4.0,0.0,2016-04-09 14:49:20,2016-04-09 14:49:20,16.0,28.0,False,10-30,0.0145722,0.07544461,1.45005956,1.32085678,21.220769,17.1615447,31.0875821,1.2736,0.7419657,0.1011958,7.67,8.11,33.7,35.2,3.81878786,0.1308298,0.01133171,13.6150235,20.8615563,0,S2015ND093009,EXACT,Designation and top/bottom depths agree,588.0,S2015ND093009,2.0,Bk1,20.0,36.0,16.0,clay loam,"dark grayish brown (2.5Y 4/2), dark olive brown (2.5Y 3/3), moist",dark olive brown,2.5Y 3/3,2.5Y,3.0,3.0,moist,2.5Y 4/2,2.5Y 3/3,,,,,,,,,,,,,,,"Bk1—20 to 36 centimeters (7.9 to 14.2 inches); dark grayish brown (2.5Y 4/2), dark olive brown (2.5Y 3/3), moist; clay loam; moderate medium prismatic parts to moderate medium subangular blocky structure; hard, firm, slightly sticky, slightly plastic; moderately slow permeability; common very fine roots throughout and common fine roots throughout; carbonate, finely disseminated; 1 percent by volume nonflat subangular indurated 75-150-250 millimeter mixed fragments observed by visual inspection method and 5 percent by volume nonflat subangular indurated 2-40-75 millimeter mixed fragments observed by visual inspection method; strong effervescence, by hcl, 1n; clear wavy boundary. Lab sample # 16N01586; moist when described; observed in pit, small",0.7419657,,0.1011958,,0.032278,,,277.7298013,,,well,,,"Fine-loamy, mixed, active, frigid Typic Calciustolls",Zahl,yes,NASIS
172897,16N01587,4878,28773,34938,3,horizon,36.0,63.0,Bk2,B,Clay loam,CL,242078,bulk,normal,submitted,1,S2015ND093009,WGS84,47.144874,-99.233198,standardized,16N0383,S2015ND093009,,not started,C2016USND034,Site_C NEON ND Stutsman Co.,2016,NEON,characterization,completed,Zahl,mollisols,ustolls,calciustolls,United States,Stutsman,North Dakota,4,4,4.0,0.0,2016-04-09 14:49:21,2016-04-09 14:49:21,27.0,49.5,False,30-60,0.0,0.03426719,1.5872706,1.44534026,22.000294,14.8545463,31.1417913,0.41,0.7825219,0.13377583,7.88,8.35,31.6,37.3,3.0478766,0.0432469,0.00102969,11.521418,19.9160104,0,S2015ND093009,EXACT,Designation and top/bottom depths agree,589.0,S2015ND093009,3.0,Bk2,36.0,63.0,27.0,clay loam,"light olive brown (2.5Y 5/3), olive brown (2.5Y 4/3), moist",olive brown,2.5Y 4/3,2.5Y,4.0,3.0,moist,2.5Y 5/3,2.5Y 4/3,,,,,,,,,,,,,,,"Bk2—36 to 63 centimeters (14.2 to 24.8 inches); light olive brown (2.5Y 5/3), olive brown (2.5Y 4/3), moist; clay loam; moderate coarse prismatic parts to moderate coarse subangular blocky structure; hard, firm, slightly sticky, slightly plastic; moderately slow permeability; few fine roots throughout; 10 percent faint clay films on all faces of peds; 5 percent fine irregular noncoherent cemented carbonate masses in matrix and 10 percent medium irregular noncoherent cemented carbonate masses in matrix; 2 percent by volume nonflat subangular indurated 75-150-250 millimeter mixed fragments observed by visual inspection method and 5 percent by volume nonflat subangular indurated 2-40-75 millimeter mixed fragments observed by visual inspection method; violent effervescence, by hcl, 1n; gradual wavy boundary. Lab sample # 16N01587; dry when described; observed in pit, small. patchy - phpvsfiid 1142308; patchy - phpvsfiid 1142308",0.7825219,,0.13377583,,0.033058,,,321.0619883,,,well,,,"Fine-loamy, mixed, active, frigid Typic Calciustolls",Zahl,yes,NASIS
