wavenumber_cm1,hydric_mean_snv,nonhydric_mean_snv,snv_standardized_difference
4000.0,-1.644323820666477,-1.6055880073713613,-0.6705801319482237
3998.0,-1.643476334390704,-1.604864605420985,-0.6685792948666586
3996.0,-1.6427269569000242,-1.6042228342863358,-0.6666484608301211
3994.0,-1.641933289254224,-1.6035563261351324,-0.6645762322014672
3992.0,-1.6411096424922562,-1.6028482648730613,-0.6629701347215421
3990.0,-1.6402828597604517,-1.602135330149962,-0.6616216591595879
3988.0,-1.639538569888206,-1.6015079824572505,-0.660428006676886
3986.0,-1.6390645344039072,-1.6011594670355975,-0.6587759938833784
3984.0,-1.6386232269101975,-1.6008269275761746,-0.6570330817879214
3982.0,-1.6377441176869176,-1.6000574243093957,-0.6554100583698954
3980.0,-1.6367049380657739,-1.5991418111223714,-0.6536822781310025
3978.0,-1.6360534465543612,-1.5985992888319638,-0.6517645696136121
3976.0,-1.6356355252441355,-1.5982716046599938,-0.6496927552949892
3974.0,-1.635057629210035,-1.5978050854189954,-0.6474841223002119
3972.0,-1.63429892185207,-1.5971930359702071,-0.6451819018895102
3970.0,-1.633542294316404,-1.5965828017125627,-0.6431254942986935
3968.0,-1.6328231392584016,-1.5959941801180493,-0.6414852972295045
3966.0,-1.6322262670999657,-1.595495926189562,-0.6401003558861543
3964.0,-1.6319359883051603,-1.5952592883847745,-0.6385630085129353
3962.0,-1.6317721163542607,-1.595158105373613,-0.636605547296205
3960.0,-1.6313571587820597,-1.5948551213796693,-0.6346557489546997
3958.0,-1.6307561803369715,-1.5943747845143248,-0.633048412767233
3956.0,-1.630242468999883,-1.593963073800597,-0.6314618390014153
3954.0,-1.6299861923804777,-1.5937735229684624,-0.6295585662579641
3952.0,-1.6302594363486285,-1.5940117513557204,-0.6277188821941533
3950.0,-1.63089036842969,-1.5945535697834747,-0.6260600655498679
3948.0,-1.6309457245609333,-1.594635508835513,-0.6246333135323819
3946.0,-1.6304056920817984,-1.5941878033724852,-0.6234772034803271
3944.0,-1.6303373822196083,-1.5941124980470351,-0.6222848375070541
3942.0,-1.6300864850913406,-1.5939522748032684,-0.6207561819260724
3940.0,-1.6286713869318183,-1.5928237162187389,-0.6195154734916379
3938.0,-1.6275015620662536,-1.591842054544054,-0.6188409321631272
3936.0,-1.6278967360730483,-1.5921562474297999,-0.6184550545185906
3934.0,-1.629526728303783,-1.5934923598119246,-0.6176771990104742
3932.0,-1.6306774928784797,-1.5944613522621485,-0.6158952178093389
3930.0,-1.6298291185902278,-1.5937820234669873,-0.6143895854500808
3928.0,-1.6284433025601217,-1.5925703506984203,-0.6140567066059324
3926.0,-1.6283790554459805,-1.5924453414266067,-0.6137357115176588
3924.0,-1.6288132267477404,-1.5928317940160663,-0.6125220350735929
3922.0,-1.6287770378311273,-1.592812069385276,-0.6116493430943523
3920.0,-1.6292028941332546,-1.5930928011954586,-0.6114463971703354
3918.0,-1.6298555091134763,-1.593612073785164,-0.6107832780889608
3916.0,-1.6288433863227005,-1.5928645696184445,-0.6092513252240674
3914.0,-1.6263355424709753,-1.5908784906763331,-0.6072177535986037
3912.0,-1.6244084423636846,-1.5893054543960494,-0.6053957459531021
3910.0,-1.6239917582699772,-1.5889274173833199,-0.6042332576286823
3908.0,-1.6256222705113212,-1.5901571407891166,-0.6039317694837043
3906.0,-1.630129300980304,-1.5937437350896135,-0.6025812379110164
3904.0,-1.6356242907964256,-1.5983081884415298,-0.5976597732482842
3902.0,-1.6379057869095424,-1.6003339221495971,-0.5932995848320816
3900.0,-1.6354685586155846,-1.5984554342530595,-0.5925978881624226
3898.0,-1.6299649907063667,-1.5940124186864142,-0.5928471325821445
3896.0,-1.6252401313373621,-1.5900999248935952,-0.5918962249588533
3894.0,-1.6248036447137604,-1.5896229056784816,-0.5910816561462416
3892.0,-1.6270237287786746,-1.591460842105695,-0.5891139389710522
3890.0,-1.626837918719628,-1.5913916545553075,-0.587080646455461
3888.0,-1.626472865291209,-1.5910282708775527,-0.586638919853276
3886.0,-1.6290647202323831,-1.5931810145259095,-0.5852839471923467
3884.0,-1.6294457535000206,-1.5936398380396033,-0.5821430129280432
3882.0,-1.627367770997711,-1.59184028504102,-0.5799618831899876
3880.0,-1.625381972770834,-1.5901403287829734,-0.5780506023790573
3878.0,-1.621943420553728,-1.5873126962459376,-0.5764121386466916
3876.0,-1.6204070850219623,-1.5859289829453633,-0.5752955677523669
3874.0,-1.6224283625476683,-1.587501139302932,-0.5734474098530674
3872.0,-1.6257126409709577,-1.5901843752973999,-0.5700733884861175
3870.0,-1.6275887604151589,-1.591736945901188,-0.5669721454646334
3868.0,-1.6257955771590786,-1.5902956905607473,-0.5657377765643191
3866.0,-1.6232299101444734,-1.5881241668930348,-0.5650082730481474
3864.0,-1.621833304838475,-1.5869424933173264,-0.5634016921069149
3862.0,-1.618832547609213,-1.584509220884351,-0.561770307121159
3860.0,-1.6151311022907673,-1.5813929016561306,-0.560298172718343
3858.0,-1.615578939679575,-1.5814969647421293,-0.559392263865119
3856.0,-1.6242602460227502,-1.588223539241621,-0.5554022237963052
3854.0,-1.6357622244583578,-1.5976228953070104,-0.5426891548838524
3852.0,-1.632513927692505,-1.5953247741830354,-0.5420328921712899
3850.0,-1.6181968376952605,-1.5837877331823542,-0.5482367283651006
3848.0,-1.608728576137669,-1.5759577922445418,-0.5478512045363869
3846.0,-1.606607216695054,-1.5740160743649254,-0.5474480568226474
3844.0,-1.6081185890818652,-1.5750093911263512,-0.5469289453147579
3842.0,-1.6108751297796666,-1.5770577304977058,-0.5443795667629887
3840.0,-1.6150367050175578,-1.5803898579322342,-0.539761309905486
3838.0,-1.6181221388629154,-1.583060445149087,-0.5353418268572535
3836.0,-1.6148807388761157,-1.580456595491742,-0.5354385949680874
3834.0,-1.6078985501859269,-1.5744739397799645,-0.5360212458403774
3832.0,-1.6020168565201296,-1.5693230761858716,-0.5348074608304213
3830.0,-1.597687408841742,-1.5655634025388783,-0.5327584472419258
3828.0,-1.5950640196067714,-1.563248757444179,-0.530734376532522
3826.0,-1.5940805374703366,-1.5622849675188157,-0.5286399305883109
3824.0,-1.595691583753148,-1.5633919566635548,-0.5270718768887697
3822.0,-1.6005323941317005,-1.5672453715215553,-0.5236489156857291
3820.0,-1.602149282894721,-1.5687106949206873,-0.5185092207526115
3818.0,-1.5983257002224553,-1.565463057847892,-0.5172048652893362
3816.0,-1.5936929140560268,-1.5613568777439113,-0.5168233890984248
3814.0,-1.5867882960686865,-1.5554859583921523,-0.5149618793479952
3812.0,-1.5798849649215927,-1.5495661064977642,-0.5118179932919643
3810.0,-1.577760082725303,-1.5474362109625481,-0.5109709078816171
3808.0,-1.5794175681163365,-1.5484704508109048,-0.510179132714043
3806.0,-1.5802868391346352,-1.54903775003976,-0.5065917148536063
