user_pedon_id,lay_id,layer_key,proj_id,lims_site_id,lims_pedon_id,lay_rpt_seq_num,lay_type,top_depth_cm,bottom_depth_cm,horizon_designation,horz_desgn_master,texture_description,texture_desc_abbrev,smp_id,smp_type,smp_condition,smp_status,samples_per_layer,user_site_id,horizontal_datum_name,latitude,longitude,coordinate_source,pedon_key,observation_date_id,pedon_status,lab_proj_name,project_focus,fiscal_year,project_source,proj_type,proj_status,taxon_name,taxonomic_order,taxonomic_suborder,taxonomic_great_group,country,county,state,mir_master_count,mir_scan_count,mir_passed_scan_count,mir_blank_qc_count,mir_first_scan_date,mir_last_scan_date,layer_thickness_cm,layer_midpoint_cm,surface_or_near_surface,depth_class,al_dithionite_pct,al_oxalate_pct,bulk_density_ovendry_g_cm3,bulk_density_third_bar_g_cm3,carbonate_pct,cec_nh4oac_cmol_kg,clay_pct,estimated_organic_carbon_pct,fe_dithionite_pct,fe_oxalate_pct,ph_cacl2,ph_water,sand_pct,silt_pct,total_carbon_pct,total_nitrogen_pct,total_sulfur_pct,water_retention_15bar_pct,water_retention_third_bar_pct,qc_flag_count,user_pedon_id_crosswalk,join_confidence,join_basis,nasis_horizon_row,nasis_user_pedon_id,nasis_nasis_horizon_sequence,nasis_horizon_designation,nasis_top_depth_cm,nasis_bottom_depth_cm,nasis_thickness_cm,nasis_field_texture,nasis_matrix_color_raw,nasis_matrix_color_name,nasis_matrix_munsell,nasis_matrix_hue,nasis_matrix_value,nasis_matrix_chroma,nasis_color_moisture_status,nasis_dry_munsell,nasis_moist_munsell,nasis_redox_raw,nasis_redox_feature_type,nasis_redox_concentration_rendered,nasis_redox_depletion_rendered,nasis_redox_percentages,nasis_redox_percentage_max,nasis_redox_abundance,nasis_redox_size,nasis_redox_contrast,nasis_redox_location,nasis_reduced_matrix_rendered,nasis_gley_rendered,nasis_wetness_morphology_raw,nasis_organic_horizon_or_material_rendered,nasis_raw_horizon_description,lab_fe_dith__analyte_66,lab_fe_mjelm__analyte_671,lab_fe_ox__analyte_60,lab_fe_pyp__analyte_73,lab_mn_dith__analyte_67,lab_mn_kcl__analyte_70,lab_mn_mjelm__analyte_673,lab_mn_ox__analyte_61,lab_mn_pyp__analyte_74,lab_mn_trelm__analyte_685,nasis_drainage_class,nasis_flooding,nasis_ponding,nasis_taxonomy,nasis_current_correlated_soil_name,nasis_certified_lab_pedon_description,nasis_record_origin,reference_group,overlap_0_30_cm,mir_source,n_raw_replicates_used
S2015ND093009,172895,16N01585,4878,28773,34938,1,horizon,0.0,20.0,A,A,Loam,L,242076,bulk,normal,submitted,1,S2015ND093009,WGS84,47.144874,-99.233198,standardized,16N0383,,not started,C2016USND034,Site_C NEON ND Stutsman Co.,2016,NEON,characterization,completed,Zahl,mollisols,ustolls,calciustolls,United States,Stutsman,North Dakota,4,4,4.0,0.0,2016-04-09 14:49:19,2016-04-09 14:49:20,20.0,10.0,True,10-30,0.0271105,0.09377844,1.65085652,1.39735603,10.110765,21.636701,30.8702488,2.6968,0.7413414,0.10935591,7.51,7.85,38.8,30.3,3.90838456,0.26840464,0.02477581,15.2,23.4069513,0,S2015ND093009,EXACT,Designation and top/bottom depths agree,587.0,S2015ND093009,1.0,A,0.0,20.0,20.0,loam,"very dark grayish brown (10YR 3/2), very dark brown (10YR 2/2), moist",very dark brown,10YR 2/2,10YR,2.0,2.0,moist,10YR 3/2,10YR 2/2,,,,,,,,,,,,,,,"A—0 to 20 centimeters (0.0 to 7.9 inches); very dark grayish brown (10YR 3/2), very dark brown (10YR 2/2), moist; loam; moderate fine granular structure; slightly hard, friable, slightly sticky, slightly plastic; moderate permeability; common fine roots throughout; 1 percent by volume nonflat subangular indurated 75-150-250 millimeter mixed fragments observed by visual inspection method and 3 percent by volume nonflat subangular indurated 2-40-75 millimeter mixed fragments observed by visual inspection method; slight effervescence, by hcl, 1n; clear wavy boundary. Lab sample # 16N01585; moist when described; observed in pit, small",0.7413414,,0.10935591,,0.0332284,,,384.7320782,,,well,,,"Fine-loamy, mixed, active, frigid Typic Calciustolls",Zahl,yes,NASIS,NONHYDRIC_REFERENCE,20.0,EXISTING_PROCESSED_MATRIX,
S2015ND093010,172899,16N01589,4878,28774,34939,5,horizon,0.0,18.0,A,A,Loam,L,242080,bulk,normal,submitted,1,S2015ND093010,WGS84,47.1465,-99.225673,standardized,16N0384,,not started,C2016USND034,Site_C NEON ND Stutsman Co.,2016,NEON,characterization,completed,Wabeck,mollisols,ustolls,haplustolls,United States,Stutsman,North Dakota,4,4,4.0,0.0,2016-04-09 14:49:22,2016-04-09 14:49:23,18.0,9.0,True,0-10,0.0333348,0.09580402,1.33783347,1.14849429,0.447211,26.3971286,21.5750755,4.196,0.742162,0.11523499,7.26,7.65,46.7,31.7,4.24860136,0.40772535,0.04438529,16.4461248,29.2477506,0,S2015ND093010,EXACT,Designation and top/bottom depths agree,591.0,S2015ND093010,1.0,A,0.0,18.0,18.0,loam,"very dark grayish brown (10YR 3/2), very dark brown (10YR 2/2), moist",very dark brown,10YR 2/2,10YR,2.0,2.0,moist,10YR 3/2,10YR 2/2,,,,,,,,,,,,,,,"A—0 to 18 centimeters (0.0 to 7.1 inches); very dark grayish brown (10YR 3/2), very dark brown (10YR 2/2), moist; loam; moderate fine granular, and moderate medium granular structure; slightly hard, friable, slightly sticky, slightly plastic; moderate permeability; many very fine roots throughout; 5 percent by volume nonflat subangular indurated 2-40-75 millimeter mixed fragments observed by visual inspection method; noneffervescent, by hcl, 1n; clear smooth boundary. Lab sample # 16N01589; moderately dry when described; observed in pit, small",0.742162,,0.11523499,,0.0670975,,,2528.1039196,,,excessively,,,"Loamy-skeletal, mixed, frigid Entic Haplustolls",Wabek,yes,NASIS,NONHYDRIC_REFERENCE,18.0,EXISTING_PROCESSED_MATRIX,
S2015ND093019,172911,16N01601,4878,28777,34942,17,horizon,0.0,14.0,A,A,Loam,L,242092,bulk,normal,submitted,1,S2015ND093019,WGS84,47.146553,-99.245216,standardized,16N0387,,not started,C2016USND034,Site_C NEON ND Stutsman Co.,2016,NEON,characterization,completed,Williams,mollisols,ustolls,argiustolls,United States,Stutsman,North Dakota,4,4,4.0,0.0,2016-04-09 14:49:34,2016-04-09 14:49:35,14.0,7.0,True,0-10,0.0556918,0.11132772,1.20199628,1.06364644,0.134176,29.5151385,31.7795371,4.2544,0.8155124,0.13144692,6.64,7.05,36.3,31.9,4.26913227,0.40317855,0.05182244,17.7865613,24.4091087,0,S2015ND093019,EXACT,Designation and top/bottom depths agree,603.0,S2015ND093019,1.0,A,0.0,14.0,14.0,loam,"very dark gray (10YR 3/1), black (10YR 2/1), moist",black,10YR 2/1,10YR,2.0,1.0,moist,10YR 3/1,10YR 2/1,,,,,,,,,,,,,,,"A—0 to 14 centimeters (0.0 to 5.5 inches); very dark gray (10YR 3/1), black (10YR 2/1), moist; loam; moderate fine granular, and moderate medium granular structure; hard, friable, slightly sticky, slightly plastic; moderate permeability; many very fine roots throughout and few medium roots throughout and common fine roots throughout; common (1.0) medium tubular pores; 1 percent by volume nonflat subangular indurated 2-5-20 millimeter mixed fragments observed by visual inspection method; noneffervescent, by hcl, 1n; clear smooth boundary. Lab sample # 16N01601; moist when described; observed in pit, small. 1/2cm of undecomposed material (leaves & roots) on surface.",0.8155124,,0.13144692,,0.0537226,,,645.7800573,,,well,,,"Fine-loamy, mixed, active, frigid Typic Haplustolls",Max,yes,NASIS,NONHYDRIC_REFERENCE,14.0,EXISTING_PROCESSED_MATRIX,
S2015ND093026,172926,16N01616,4878,28780,34945,32,horizon,2.0,18.0,A1,A,Silty clay loam,SICL,242107,bulk,normal,submitted,1,S2015ND093026,WGS84,47.151072,-99.253018,standardized,16N0390,,not started,C2016USND034,Site_C NEON ND Stutsman Co.,2016,NEON,characterization,completed,Parnell,mollisols,aquolls,argiaquolls,United States,Stutsman,North Dakota,4,4,4.0,0.0,2016-04-09 14:49:48,2016-04-09 14:49:49,16.0,10.0,True,10-30,0.0448263,0.06756262,,,0.554532,33.388253,37.8033503,3.674,0.5428622,0.14423242,7.76,7.78,29.6,32.6,3.73876024,0.35781104,0.28583156,23.136646,,0,S2015ND093026,EXACT,Designation and top/bottom depths agree,618.0,S2015ND093026,2.0,A1,2.0,18.0,16.0,silty clay loam,"black (10YR 2/1), black (10YR 2/1), dry",black,10YR 2/1,10YR,2.0,1.0,,,,,,,,,,,,,,,,,,"A1—2 to 18 centimeters (0.8 to 7.1 inches); black (10YR 2/1), black (10YR 2/1), dry; silty clay loam; moderate fine granular, and weak fine granular structure; moderately sticky, moderately plastic; moderately slow permeability; shell fragments; fragments; noneffervescent, by hcl, 1n; clear wavy boundary. Lab sample # 16N01616; wet when described; observed in pit, small. Shells present within this horizon.",0.5428622,,0.14423242,,0.0263216,,,246.7412192,,,very poorly,,frequent ponding for very long periods,"Fine, smectitic, frigid Vertic Argiaquolls",Parnell,yes,NASIS,HYDRIC_REFERENCE,16.0,RECOVERED_RAW_CSV,4.0
S2015ND093028,172933,16N01623,4878,28781,34946,39,horizon,5.0,28.0,A,A,Silty clay loam,SICL,242114,bulk,normal,submitted,1,S2015ND093028,WGS84,47.140568,-99.252037,standardized,16N0391,,not started,C2016USND034,Site_C NEON ND Stutsman Co.,2016,NEON,characterization,completed,Parnell,mollisols,aquolls,argiaquolls,United States,Stutsman,North Dakota,4,4,4.0,0.0,2016-04-09 14:50:29,2016-04-09 14:50:29,23.0,16.5,True,10-30,0.035058,0.06948229,1.81087943,1.28937694,0.052175,30.6571506,33.3769787,3.834,0.5481583,0.13864682,7.01,7.11,28.5,38.1,3.84122488,0.39293502,0.10782386,21.277205,28.0241824,0,S2015ND093028,EXACT,Designation and top/bottom depths agree,625.0,S2015ND093028,2.0,A,5.0,28.0,23.0,silty clay loam,"black (10YR 2/1), very dark gray (10YR 3/1), dry",very dark gray,10YR 3/1,10YR,3.0,1.0,,,,"5 percent fine distinct light olive brown (2.5Y 5/4), moist, masses of oxidized iron in matrix",concentration,1.0,,5.0,5.0,,fine,distinct,,,,"5 percent fine distinct light olive brown (2.5Y 5/4), moist, masses of oxidized iron in matrix",,"A—5 to 28 centimeters (2.0 to 11.0 inches); black (10YR 2/1), very dark gray (10YR 3/1), dry; silty clay loam; 28 percent clay; weak medium subangular blocky, and moderate fine subangular blocky structure; slightly hard, friable, moderately sticky, moderately plastic; moderately slow permeability; many (6.0) fine roots throughout and many (6.0) coarse roots throughout; fragments; noneffervescent, by hcl, 1n; clear wavy boundary. Lab sample # 16N01623; moist when described; observed in pit, small",0.5481583,,0.13864682,,0.0729386,,,348.470624,,,poorly,,frequent ponding for very long periods,"Fine, smectitic, frigid Vertic Argiaquolls",Parnell,yes,NASIS,HYDRIC_REFERENCE,23.0,RECOVERED_RAW_CSV,4.0
S2015ND093030,172944,16N01634,4878,28783,34948,50,horizon,15.0,23.0,Ag1,A,Mucky Silt loam,MK-SIL,242125,bulk,normal,submitted,1,S2015ND093030,WGS84,47.137925,-99.243418,standardized,16N0393,,not started,C2016USND034,Site_C NEON ND Stutsman Co.,2016,NEON,characterization,completed,Southam,mollisols,aquolls,endoaquolls,United States,Stutsman,North Dakota,4,4,4.0,0.0,2019-07-30 07:47:28,2019-07-30 07:47:29,8.0,19.0,False,10-30,0.0,0.05355229,,,46.747907,33.2368762,49.6442555,8.26,0.2575374,0.20704869,7.78,7.95,12.0,38.4,13.86723653,0.79878465,0.36222738,32.1321321,,0,S2015ND093030,EXACT,Designation and top/bottom depths agree,636.0,S2015ND093030,2.0,Ag1,15.0,23.0,8.0,mucky silt loam,"black (2.5Y 2.5/1), dark gray (2.5Y 4/1), dry",dark gray,2.5Y 4/1,2.5Y,4.0,1.0,,,,,,,,,,,,,,,,,1.0,"Ag1—15 to 23 centimeters (5.9 to 9.1 inches); black (2.5Y 2.5/1), dark gray (2.5Y 4/1), dry; mucky silt loam; weak fine granular structure; slightly sticky, slightly plastic; moderate permeability; fragments; slight effervescence, by hcl, 1n; clear wavy boundary. Lab sample # 16N01634; wet when described; observed in pit, small",0.2575374,,0.20704869,,0.0729166,,,347.93862,,,very poorly,,frequent ponding for very long periods,"Fine-loamy, carbonatic, frigid Cumulic Endoaquolls",SND,yes,NASIS,HYDRIC_REFERENCE,8.0,RECOVERED_RAW_CSV,4.0
S2015ND093031,172949,16N01639,4878,28784,34949,55,horizon,0.0,29.0,A,A,Silt loam,SIL,242130,bulk,normal,submitted,1,S2015ND093031,WGS84,47.128,-99.243,standardized,16N0394,,not started,C2016USND034,Site_C NEON ND Stutsman Co.,2016,NEON,characterization,completed,Tonka,mollisols,albolls,argialbolls,United States,Stutsman,North Dakota,4,4,4.0,0.0,2016-04-13 07:53:27,2016-04-13 07:53:27,29.0,14.5,True,10-30,0.0445615,0.07376575,,,-0.004052,27.8213637,29.6515451,4.38,0.563982,0.33069653,5.47,5.94,22.7,47.6,4.37522224,0.40881178,0.06241401,18.9844638,,0,S2015ND093031,EXACT,Designation and top/bottom depths agree,641.0,S2015ND093031,1.0,A,0.0,29.0,29.0,silt loam,"very dark brown (10YR 2/2), very dark grayish brown (10YR 3/2), dry",very dark grayish brown,10YR 3/2,10YR,3.0,2.0,,,,,,,,,,,,,,,,,,"A—0 to 29 centimeters (0.0 to 11.4 inches); very dark brown (10YR 2/2), very dark grayish brown (10YR 3/2), dry; silt loam; slightly hard, friable, slightly sticky, slightly plastic; moderate permeability; many (6.0) very fine roots throughout and many (6.0) fine roots throughout; many (6.0) very fine tubular and many (6.0) fine tubular pores; fragments; noneffervescent, by hcl, 1n. Lab sample # 16N01639; moist when described; observed in auger, bucket",0.563982,,0.33069653,,0.0563808,,,511.6887877,,,poorly,,frequent ponding for long periods,"Fine, smectitic, frigid Argiaquic Argialbolls",Tonka,yes,NASIS,HYDRIC_REFERENCE,29.0,EXISTING_PROCESSED_MATRIX,
S2016ND059001,175270,16N04064,4966,29278,35444,1,horizon,0.0,30.0,A1,A,Fine sandy loam,FSL,247266,bulk,normal,submitted,1,S2016ND059001,WGS84,46.805925,-100.915698,standardized,16N0916,,not started,C2016USND122,Site_C NEON_10_NOGP,2016,NEON,characterization,completed,Parshall,mollisols,ustolls,haplustolls,United States,Morton,North Dakota,4,4,4.0,0.0,2019-06-05 07:48:32,2019-06-05 07:48:32,30.0,15.0,True,10-30,0.0490244,0.04056986,1.47444864,1.41163939,,10.2869285,8.1824277,1.31,1.0209127,0.07206757,5.83,6.43,74.6,17.2,1.30501041,0.1517454,0.01922108,6.1573034,12.0394056,0,S2016ND059001,EXACT,Designation and top/bottom depths agree,1248.0,S2016ND059001,1.0,A1,0.0,30.0,30.0,fine sandy loam,"dark grayish brown (10YR 4/2), very dark grayish brown (10YR 3/2), moist",very dark grayish brown,10YR 3/2,10YR,3.0,2.0,moist,10YR 4/2,10YR 3/2,,,,,,,,,,,,,,,"A1—0 to 30 centimeters (0.0 to 11.8 inches); dark grayish brown (10YR 4/2), very dark grayish brown (10YR 3/2), moist; fine sandy loam; 60 percent sand; 24 percent silt; 16 percent clay; weak medium subangular blocky parts to weak fine granular structure; soft, very friable, nonsticky, nonplastic; common (4.0) very fine roots throughout and common (2.0) fine roots throughout; common (12.0) very fine tubular pores; fragments; 16 Percent of Clay; 60 Percent of Sand; noneffervescent, by hcl, 1n; neutral, pH 6.8, pH meter; clear wavy boundary.; moist when described; observed in pit, small",1.0209127,,0.07206757,,0.0319607,,,246.6810692,,,well,none flooding,none ponding,"Coarse-loamy, mixed, superactive, frigid Pachic Haplustolls",Parshall,no,NASIS,NONHYDRIC_REFERENCE,30.0,EXISTING_PROCESSED_MATRIX,
S2016ND059003,175274,16N04068,4966,29279,35445,5,horizon,0.0,18.0,A,A,Silty clay loam,SICL,247270,bulk,normal,submitted,1,S2016ND059003,WGS84,46.800992,-100.916115,standardized,16N0917,,not started,C2016USND122,Site_C NEON_10_NOGP,2016,NEON,characterization,completed,Wyola,mollisols,ustolls,argiustolls,United States,Morton,North Dakota,4,4,4.0,0.0,2019-06-05 07:48:43,2019-06-05 07:48:44,18.0,9.0,True,0-10,0.1137625,0.12610087,1.26857485,1.13493325,6.802779,32.4934022,37.8405914,2.74,1.0069136,0.17590807,6.11,6.73,22.9,39.3,2.7443068,0.29216955,0.03965158,22.3544631,20.6432762,0,S2016ND059003,EXACT,Designation and top/bottom depths agree,1254.0,S2016ND059003,1.0,A,0.0,18.0,18.0,silty clay loam,"very dark grayish brown (10YR 3/2), very dark brown (10YR 2/2), moist",very dark brown,10YR 2/2,10YR,2.0,2.0,moist,10YR 3/2,10YR 2/2,,,,,,,,,,,,,,,"A—0 to 18 centimeters (0.0 to 7.1 inches); very dark grayish brown (10YR 3/2), very dark brown (10YR 2/2), moist; silty clay loam; 4 percent sand; 59 percent silt; 37 percent clay; moderate medium subangular blocky parts to moderate medium granular structure; moderately hard, firm, very sticky, very plastic; many (10.0) very fine roots throughout; many (7.0) very fine tubular pores; fragments; 37 Percent of Clay; 4 Percent of Sand; noneffervescent, by hcl, 1n; slightly alkaline, pH 7.5, pH meter; clear wavy boundary.; moist when described; observed in pit, small",1.0069136,,0.17590807,,0.0261563,,,308.129318,,,well,occasional flooding for brief periods,none ponding,"Fine, smectitic, frigid Vertic Argiustolls",Savage,no,NASIS,NONHYDRIC_REFERENCE,18.0,EXISTING_PROCESSED_MATRIX,
S2016ND059005,175279,16N04073,4966,29280,35446,10,horizon,4.0,20.0,A,A,Silt loam,SIL,247275,bulk,normal,submitted,1,S2016ND059005,WGS84,46.768943,-100.917042,standardized,16N0918,,not started,C2016USND122,Site_C NEON_10_NOGP,2016,NEON,characterization,completed,Temvik,mollisols,ustolls,haplustolls,United States,Morton,North Dakota,4,4,4.0,0.0,2019-06-05 07:48:58,2019-06-05 07:48:59,16.0,12.0,True,10-30,0.0865756,0.10823604,,,,23.6388789,23.3344406,3.18,0.8325264,0.14066706,5.51,5.91,18.9,57.8,3.17797699,0.32911089,0.04525275,13.9478261,,0,S2016ND059005,EXACT,Designation and top/bottom depths agree,1260.0,S2016ND059005,2.0,A,4.0,20.0,16.0,silt loam,"very dark gray (10YR 3/1), black (10YR 2/1), moist",black,10YR 2/1,10YR,2.0,1.0,moist,10YR 3/1,10YR 2/1,,,,,,,,,,,,,,,"A—4 to 20 centimeters (1.6 to 7.9 inches); very dark gray (10YR 3/1), black (10YR 2/1), moist; silt loam; 5 percent sand; 69 percent silt; 26 percent clay; slightly hard, friable, moderately sticky, moderately plastic; common (4.0) very fine roots throughout and few (1.0) fine roots throughout; common (4.0) very fine tubular and few (1.0) fine tubular pores; fragments; 26 percent of Clay; 5 percent of Sand; noneffervescent, by hcl, 1n; neutral, pH 7.0, pH meter.; moist when described; observed in auger, bucket",0.8325264,,0.14066706,,0.0423609,,,405.8851388,,,well,none flooding,none ponding,"Fine-silty, mixed, superactive, frigid Typic Haplustolls",Temvik,no,NASIS,NONHYDRIC_REFERENCE,16.0,RECOVERED_RAW_CSV,4.0
