lims_pedon_id,user_pedon_id,LRR,MLRA,approved_indicators_present,number_applicable_priority_indicators,number_not_demonstrated,number_insufficient_information,areasymbol,muname,nasis_taxon_name,nasis_taxonomy,match_confidence,selected_compname,selected_drainagecl,selected_hydricrating,evidence_class
24847,S2012ND093001,F,53B,,11,0,11,ND093,"Parnell silty clay loam, 0 to 1 percent slopes, Missouri Coteau",Manning-Like,,UNMATCHED,,,,LINKAGE_UNRESOLVED
34938,S2015ND093009,F,53B,,11,6,5,ND093,"Zahl-Williams loams, 9 to 15 percent slopes",Zahl,"Fine-loamy, mixed, active, frigid Typic Calciustolls",EXACT,Zahl,Well drained,No,PARTIAL_NEGATIVE_SUPPORT
34939,S2015ND093010,F,53B,,11,3,8,ND093,"Lehr-Wabek loams, 2 to 6 percent slopes",Wabek,"Loamy-skeletal, mixed, frigid Entic Haplustolls",EXACT,Wabek,Excessively drained,No,PARTIAL_NEGATIVE_SUPPORT
34940,S2015ND093013,F,53B,,11,1,10,ND093,"Zahl-Max-Bowbells loams, 6 to 35 percent slopes",Typic Caciaquoll,"Fine, smectitic, frigid Typic Calciaquolls",AMBIGUOUS,,,,LINKAGE_UNRESOLVED
34941,S2015ND093017,F,53B,,11,3,8,ND093,"Wabek-Lehr-Appam complex, 9 to 25 percent slopes",Schaller,"Sandy, mixed, frigid Entic Haplustolls",AMBIGUOUS,,,,LINKAGE_UNRESOLVED
34942,S2015ND093019,F,53B,,11,9,2,ND093,"Zahl-Max-Parnell complex, 0 to 35 percent slopes",Max,"Fine-loamy, mixed, active, frigid Typic Haplustolls",EXACT,Max,Well drained,No,PARTIAL_NEGATIVE_SUPPORT
34943,S2015ND093021,F,53B,,11,1,10,ND093,"Zahl-Max-Parnell complex, 0 to 35 percent slopes",Colvin,"Fine-silty, mixed, superactive, frigid Typic Calciaquolls",AMBIGUOUS,,,,LINKAGE_UNRESOLVED
34944,S2015ND093022,F,53B,,11,1,10,ND093,"Williams-Zahl-Zahill complex, 6 to 9 percent slopes",Southam,"Fine, smectitic, calcareous, frigid Vertic Endoaquolls",AMBIGUOUS,,,,LINKAGE_UNRESOLVED
34945,S2015ND093026,F,53B,,11,1,10,ND093,"Parnell silty clay loam, 0 to 1 percent slopes, Missouri Coteau",Parnell,"Fine, smectitic, frigid Vertic Argiaquolls",EXACT,Parnell,Very poorly drained,Yes,SSURGO_POSITIVE_MORPH_NOT_DEMONSTRATED
34946,S2015ND093028,F,53B,,11,1,10,ND093,"Tonka-Parnell complex, 0 to 1 percent slopes, Missouri Coteau",Parnell,"Fine, smectitic, frigid Vertic Argiaquolls",EXACT,Parnell,Very poorly drained,Yes,SSURGO_POSITIVE_MORPH_NOT_DEMONSTRATED
