lay_id,layer_key,proj_id,lims_site_id,lims_pedon_id,lay_rpt_seq_num,lay_type,top_depth_cm,bottom_depth_cm,horizon_designation,horz_desgn_master,texture_description,texture_desc_abbrev,smp_id,smp_type,smp_condition,smp_status,samples_per_layer,user_site_id,horizontal_datum_name,latitude,longitude,coordinate_source,pedon_key,user_pedon_id,observation_date_id,pedon_status,lab_proj_name,project_focus,fiscal_year,project_source,proj_type,proj_status,taxon_name,taxonomic_order,taxonomic_suborder,taxonomic_great_group,country,county,state,mir_master_count,mir_scan_count,mir_passed_scan_count,mir_blank_qc_count,mir_first_scan_date,mir_last_scan_date,layer_thickness_cm,layer_midpoint_cm,surface_or_near_surface,depth_class,al_dithionite_pct,al_oxalate_pct,bulk_density_ovendry_g_cm3,bulk_density_third_bar_g_cm3,carbonate_pct,cec_nh4oac_cmol_kg,clay_pct,estimated_organic_carbon_pct,fe_dithionite_pct,fe_oxalate_pct,ph_cacl2,ph_water,sand_pct,silt_pct,total_carbon_pct,total_nitrogen_pct,total_sulfur_pct,water_retention_15bar_pct,water_retention_third_bar_pct,qc_flag_count,user_pedon_id_crosswalk,join_confidence,join_basis,nasis_horizon_row,nasis_user_pedon_id,nasis_nasis_horizon_sequence,nasis_horizon_designation,nasis_top_depth_cm,nasis_bottom_depth_cm,nasis_thickness_cm,nasis_field_texture,nasis_matrix_color_raw,nasis_matrix_color_name,nasis_matrix_munsell,nasis_matrix_hue,nasis_matrix_value,nasis_matrix_chroma,nasis_color_moisture_status,nasis_dry_munsell,nasis_moist_munsell,nasis_redox_raw,nasis_redox_feature_type,nasis_redox_concentration_rendered,nasis_redox_depletion_rendered,nasis_redox_percentages,nasis_redox_percentage_max,nasis_redox_abundance,nasis_redox_size,nasis_redox_contrast,nasis_redox_location,nasis_reduced_matrix_rendered,nasis_gley_rendered,nasis_wetness_morphology_raw,nasis_organic_horizon_or_material_rendered,nasis_raw_horizon_description,lab_fe_dith__analyte_66,lab_fe_mjelm__analyte_671,lab_fe_ox__analyte_60,lab_fe_pyp__analyte_73,lab_mn_dith__analyte_67,lab_mn_kcl__analyte_70,lab_mn_mjelm__analyte_673,lab_mn_ox__analyte_61,lab_mn_pyp__analyte_74,lab_mn_trelm__analyte_685,nasis_drainage_class,nasis_flooding,nasis_ponding,nasis_taxonomy,nasis_current_correlated_soil_name,nasis_certified_lab_pedon_description,nasis_record_origin,reference_group,overlap_0_30_cm
172895,16N01585,4878,28773,34938,1,horizon,0.0,20.0,A,A,Loam,L,242076,bulk,normal,submitted,1,S2015ND093009,WGS84,47.144874,-99.233198,standardized,16N0383,S2015ND093009,,not started,C2016USND034,Site_C NEON ND Stutsman Co.,2016,NEON,characterization,completed,Zahl,mollisols,ustolls,calciustolls,United States,Stutsman,North Dakota,4,4,4.0,0.0,2016-04-09 14:49:19,2016-04-09 14:49:20,20.0,10.0,True,10-30,0.0271105,0.09377844,1.65085652,1.39735603,10.110765,21.636701,30.8702488,2.6968,0.7413414,0.10935591,7.51,7.85,38.8,30.3,3.90838456,0.26840464,0.02477581,15.2,23.4069513,0,S2015ND093009,EXACT,Designation and top/bottom depths agree,587.0,S2015ND093009,1.0,A,0.0,20.0,20.0,loam,"very dark grayish brown (10YR 3/2), very dark brown (10YR 2/2), moist",very dark brown,10YR 2/2,10YR,2.0,2.0,moist,10YR 3/2,10YR 2/2,,,,,,,,,,,,,,,"A—0 to 20 centimeters (0.0 to 7.9 inches); very dark grayish brown (10YR 3/2), very dark brown (10YR 2/2), moist; loam; moderate fine granular structure; slightly hard, friable, slightly sticky, slightly plastic; moderate permeability; common fine roots throughout; 1 percent by volume nonflat subangular indurated 75-150-250 millimeter mixed fragments observed by visual inspection method and 3 percent by volume nonflat subangular indurated 2-40-75 millimeter mixed fragments observed by visual inspection method; slight effervescence, by hcl, 1n; clear wavy boundary. Lab sample # 16N01585; moist when described; observed in pit, small",0.7413414,,0.10935591,,0.0332284,,,384.7320782,,,well,,,"Fine-loamy, mixed, active, frigid Typic Calciustolls",Zahl,yes,NASIS,NONHYDRIC_REFERENCE,20.0
172896,16N01586,4878,28773,34938,2,horizon,20.0,36.0,Bk1,B,Clay loam,CL,242077,bulk,normal,submitted,1,S2015ND093009,WGS84,47.144874,-99.233198,standardized,16N0383,S2015ND093009,,not started,C2016USND034,Site_C NEON ND Stutsman Co.,2016,NEON,characterization,completed,Zahl,mollisols,ustolls,calciustolls,United States,Stutsman,North Dakota,4,4,4.0,0.0,2016-04-09 14:49:20,2016-04-09 14:49:20,16.0,28.0,False,10-30,0.0145722,0.07544461,1.45005956,1.32085678,21.220769,17.1615447,31.0875821,1.2736,0.7419657,0.1011958,7.67,8.11,33.7,35.2,3.81878786,0.1308298,0.01133171,13.6150235,20.8615563,0,S2015ND093009,EXACT,Designation and top/bottom depths agree,588.0,S2015ND093009,2.0,Bk1,20.0,36.0,16.0,clay loam,"dark grayish brown (2.5Y 4/2), dark olive brown (2.5Y 3/3), moist",dark olive brown,2.5Y 3/3,2.5Y,3.0,3.0,moist,2.5Y 4/2,2.5Y 3/3,,,,,,,,,,,,,,,"Bk1—20 to 36 centimeters (7.9 to 14.2 inches); dark grayish brown (2.5Y 4/2), dark olive brown (2.5Y 3/3), moist; clay loam; moderate medium prismatic parts to moderate medium subangular blocky structure; hard, firm, slightly sticky, slightly plastic; moderately slow permeability; common very fine roots throughout and common fine roots throughout; carbonate, finely disseminated; 1 percent by volume nonflat subangular indurated 75-150-250 millimeter mixed fragments observed by visual inspection method and 5 percent by volume nonflat subangular indurated 2-40-75 millimeter mixed fragments observed by visual inspection method; strong effervescence, by hcl, 1n; clear wavy boundary. Lab sample # 16N01586; moist when described; observed in pit, small",0.7419657,,0.1011958,,0.032278,,,277.7298013,,,well,,,"Fine-loamy, mixed, active, frigid Typic Calciustolls",Zahl,yes,NASIS,NONHYDRIC_REFERENCE,10.0
172899,16N01589,4878,28774,34939,5,horizon,0.0,18.0,A,A,Loam,L,242080,bulk,normal,submitted,1,S2015ND093010,WGS84,47.1465,-99.225673,standardized,16N0384,S2015ND093010,,not started,C2016USND034,Site_C NEON ND Stutsman Co.,2016,NEON,characterization,completed,Wabeck,mollisols,ustolls,haplustolls,United States,Stutsman,North Dakota,4,4,4.0,0.0,2016-04-09 14:49:22,2016-04-09 14:49:23,18.0,9.0,True,0-10,0.0333348,0.09580402,1.33783347,1.14849429,0.447211,26.3971286,21.5750755,4.196,0.742162,0.11523499,7.26,7.65,46.7,31.7,4.24860136,0.40772535,0.04438529,16.4461248,29.2477506,0,S2015ND093010,EXACT,Designation and top/bottom depths agree,591.0,S2015ND093010,1.0,A,0.0,18.0,18.0,loam,"very dark grayish brown (10YR 3/2), very dark brown (10YR 2/2), moist",very dark brown,10YR 2/2,10YR,2.0,2.0,moist,10YR 3/2,10YR 2/2,,,,,,,,,,,,,,,"A—0 to 18 centimeters (0.0 to 7.1 inches); very dark grayish brown (10YR 3/2), very dark brown (10YR 2/2), moist; loam; moderate fine granular, and moderate medium granular structure; slightly hard, friable, slightly sticky, slightly plastic; moderate permeability; many very fine roots throughout; 5 percent by volume nonflat subangular indurated 2-40-75 millimeter mixed fragments observed by visual inspection method; noneffervescent, by hcl, 1n; clear smooth boundary. Lab sample # 16N01589; moderately dry when described; observed in pit, small",0.742162,,0.11523499,,0.0670975,,,2528.1039196,,,excessively,,,"Loamy-skeletal, mixed, frigid Entic Haplustolls",Wabek,yes,NASIS,NONHYDRIC_REFERENCE,18.0
172900,16N01590,4878,28774,34939,6,horizon,18.0,30.0,Bw,B,Loam,L,242081,bulk,normal,submitted,1,S2015ND093010,WGS84,47.1465,-99.225673,standardized,16N0384,S2015ND093010,,not started,C2016USND034,Site_C NEON ND Stutsman Co.,2016,NEON,characterization,completed,Wabeck,mollisols,ustolls,haplustolls,United States,Stutsman,North Dakota,4,4,4.0,0.0,2016-04-09 14:49:23,2016-04-09 14:49:24,12.0,24.0,False,10-30,0.0535572,0.12696961,1.42687669,1.32335507,1.826495,18.5088484,18.5218564,2.2004,0.8881614,0.11179187,7.5,7.93,51.1,30.4,2.42201813,0.2137377,0.02568963,9.5238095,17.2031476,0,S2015ND093010,EXACT,Designation and top/bottom depths agree,592.0,S2015ND093010,2.0,Bw,18.0,30.0,12.0,loam,"dark grayish brown (10YR 4/2), very dark grayish brown (10YR 3/2), moist",very dark grayish brown,10YR 3/2,10YR,3.0,2.0,moist,10YR 4/2,10YR 3/2,,,,,,,,,,,,,,,"Bw—18 to 30 centimeters (7.1 to 11.8 inches); dark grayish brown (10YR 4/2), very dark grayish brown (10YR 3/2), moist; loam; moderate medium prismatic parts to moderate medium subangular blocky structure; slightly hard, friable, slightly sticky, slightly plastic; moderate permeability; few very fine roots throughout; 10 percent by volume nonflat subangular indurated 2-40-75 millimeter mixed fragments observed by visual inspection method; noneffervescent, by hcl, 1n; clear wavy boundary. Lab sample # 16N01590; moderately dry when described; observed in pit, small",0.8881614,,0.11179187,,0.0652016,,,533.8375996,,,excessively,,,"Loamy-skeletal, mixed, frigid Entic Haplustolls",Wabek,yes,NASIS,NONHYDRIC_REFERENCE,12.0
172911,16N01601,4878,28777,34942,17,horizon,0.0,14.0,A,A,Loam,L,242092,bulk,normal,submitted,1,S2015ND093019,WGS84,47.146553,-99.245216,standardized,16N0387,S2015ND093019,,not started,C2016USND034,Site_C NEON ND Stutsman Co.,2016,NEON,characterization,completed,Williams,mollisols,ustolls,argiustolls,United States,Stutsman,North Dakota,4,4,4.0,0.0,2016-04-09 14:49:34,2016-04-09 14:49:35,14.0,7.0,True,0-10,0.0556918,0.11132772,1.20199628,1.06364644,0.134176,29.5151385,31.7795371,4.2544,0.8155124,0.13144692,6.64,7.05,36.3,31.9,4.26913227,0.40317855,0.05182244,17.7865613,24.4091087,0,S2015ND093019,EXACT,Designation and top/bottom depths agree,603.0,S2015ND093019,1.0,A,0.0,14.0,14.0,loam,"very dark gray (10YR 3/1), black (10YR 2/1), moist",black,10YR 2/1,10YR,2.0,1.0,moist,10YR 3/1,10YR 2/1,,,,,,,,,,,,,,,"A—0 to 14 centimeters (0.0 to 5.5 inches); very dark gray (10YR 3/1), black (10YR 2/1), moist; loam; moderate fine granular, and moderate medium granular structure; hard, friable, slightly sticky, slightly plastic; moderate permeability; many very fine roots throughout and few medium roots throughout and common fine roots throughout; common (1.0) medium tubular pores; 1 percent by volume nonflat subangular indurated 2-5-20 millimeter mixed fragments observed by visual inspection method; noneffervescent, by hcl, 1n; clear smooth boundary. Lab sample # 16N01601; moist when described; observed in pit, small. 1/2cm of undecomposed material (leaves & roots) on surface.",0.8155124,,0.13144692,,0.0537226,,,645.7800573,,,well,,,"Fine-loamy, mixed, active, frigid Typic Haplustolls",Max,yes,NASIS,NONHYDRIC_REFERENCE,14.0
172912,16N01602,4878,28777,34942,18,horizon,14.0,29.0,Bt,B,Clay loam,CL,242093,bulk,normal,submitted,1,S2015ND093019,WGS84,47.146553,-99.245216,standardized,16N0387,S2015ND093019,,not started,C2016USND034,Site_C NEON ND Stutsman Co.,2016,NEON,characterization,completed,Williams,mollisols,ustolls,argiustolls,United States,Stutsman,North Dakota,4,4,4.0,0.0,2016-04-09 14:49:35,2016-04-09 14:49:36,15.0,21.5,False,10-30,0.0638718,0.11963935,1.58000565,1.45102597,0.35545,30.4466119,34.3675418,2.4368,0.9547019,0.15540229,7.05,7.45,37.5,28.1,2.47942145,0.23465211,0.03218679,15.6545209,18.4594243,0,S2015ND093019,EXACT,Designation and top/bottom depths agree,604.0,S2015ND093019,2.0,Bt,14.0,29.0,15.0,clay loam,"olive brown (2.5Y 4/3), dark olive brown (2.5Y 3/3), moist",dark olive brown,2.5Y 3/3,2.5Y,3.0,3.0,moist,2.5Y 4/3,2.5Y 3/3,,,,,,,,,,,,,,,"Bt—14 to 29 centimeters (5.5 to 11.4 inches); olive brown (2.5Y 4/3), dark olive brown (2.5Y 3/3), moist; clay loam; moderate medium prismatic parts to moderate medium subangular blocky structure; hard, firm, moderately sticky, moderately plastic; moderately slow permeability; many very fine roots throughout and common fine roots throughout; common (3.0) medium tubular pores; 2 percent distinct black (10YR 2/1), moist, organic stains on all faces of peds and 10 percent faint very dark gray (2.5Y 3/1), moist, clay films on vertical faces of peds; 1 percent by volume nonflat subangular indurated 2-20-76 millimeter mixed fragments observed by visual inspection method; noneffervescent, by hcl, 1n; clear wavy boundary. Lab sample # 16N01602; moist when described; observed in pit, small. patchy - phpvsfiid 1142310; patchy - phpvsfiid 1142311; patchy - phpvsfiid 1142310; patchy - phpvsfiid 1142311",0.9547019,,0.15540229,,0.0495261,,,766.8087884,,,well,,,"Fine-loamy, mixed, active, frigid Typic Haplustolls",Max,yes,NASIS,NONHYDRIC_REFERENCE,15.0
172913,16N01603,4878,28777,34942,19,horizon,29.0,47.0,Btk,B,Clay loam,CL,242094,bulk,normal,submitted,1,S2015ND093019,WGS84,47.146553,-99.245216,standardized,16N0387,S2015ND093019,,not started,C2016USND034,Site_C NEON ND Stutsman Co.,2016,NEON,characterization,completed,Williams,mollisols,ustolls,argiustolls,United States,Stutsman,North Dakota,4,4,4.0,0.0,2016-04-09 14:49:36,2016-04-09 14:49:36,18.0,38.0,False,30-60,0.0088896,0.06238758,1.50758723,1.34752863,22.597397,18.6518745,35.9447732,0.928,0.7924879,0.1385356,7.69,8.15,29.5,34.6,3.63719398,0.12627708,0.01656093,12.4434389,19.235194,0,S2015ND093019,EXACT,Designation and top/bottom depths agree,605.0,S2015ND093019,3.0,Btk,29.0,47.0,18.0,clay loam,"light yellowish brown (2.5Y 6/3), light olive brown (2.5Y 5/3), moist",light olive brown,2.5Y 5/3,2.5Y,5.0,3.0,moist,2.5Y 6/3,2.5Y 5/3,,,,,,,,,,,,,,,"Btk—29 to 47 centimeters (11.4 to 18.5 inches); light yellowish brown (2.5Y 6/3), light olive brown (2.5Y 5/3), moist; clay loam; moderate medium prismatic parts to moderate medium subangular blocky structure; slightly hard, friable, moderately sticky, moderately plastic; moderately slow permeability; common very fine roots between peds; common (3.0) medium tubular pores; 25 percent distinct very dark gray (2.5Y 3/1), moist, clay films on vertical faces of peds; carbonate, finely disseminated throughout and 3 percent fine irregular noncoherent cemented white (2.5Y 8/1), moist, carbonate masses in matrix; 3 percent by volume nonflat subangular indurated 2-40-76 millimeter mixed fragments observed by visual inspection method; violent effervescence, by hcl, 1n; clear irregular boundary. Lab sample # 16N01603; dry when described; observed in pit, small. continuous - phpvsfiid 1142312; continuous - phpvsfiid 1142312",0.7924879,,0.1385356,,0.0349384,,,466.6135642,,,well,,,"Fine-loamy, mixed, active, frigid Typic Haplustolls",Max,yes,NASIS,NONHYDRIC_REFERENCE,1.0
172925,16N01615,4878,28780,34945,31,horizon,0.0,2.0,Oi,O,Slightly decomposed plant material,SPM,242106,bulk,normal,submitted,1,S2015ND093026,WGS84,47.151072,-99.253018,standardized,16N0390,S2015ND093026,,not started,C2016USND034,Site_C NEON ND Stutsman Co.,2016,NEON,characterization,completed,Parnell,mollisols,aquolls,argiaquolls,United States,Stutsman,North Dakota,4,4,4.0,0.0,2016-04-09 14:49:47,2016-04-09 14:49:47,2.0,1.0,True,0-10,0.0004673,0.04278399,,,2.232693,74.9966236,35.9160196,33.7024,0.4675123,0.34940255,,,5.9,58.2,33.97156597,2.47308604,2.11305855,120.1680672,,0,S2015ND093026,EXACT,Designation and top/bottom depths agree,617.0,S2015ND093026,1.0,Oi,0.0,2.0,2.0,shell fragments,black (10YR 2/1) slightly decomposed plant material,black,10YR 2/1,10YR,2.0,1.0,,,,,,,,,,,,,,,,,1.0,"Oi—0 to 2 centimeters (0.0 to 0.8 inches); black (10YR 2/1) slightly decomposed plant material; shell fragments; fragments; noneffervescent, by hcl, 1n; abrupt smooth boundary. Lab sample # 16N01615; wet when described; observed in pit, small. Shells present within this horizon.",0.4675123,,0.34940255,,0.0532938,6.5609795,,495.6396169,,,very poorly,,frequent ponding for very long periods,"Fine, smectitic, frigid Vertic Argiaquolls",Parnell,yes,NASIS,HYDRIC_REFERENCE,2.0
172926,16N01616,4878,28780,34945,32,horizon,2.0,18.0,A1,A,Silty clay loam,SICL,242107,bulk,normal,submitted,1,S2015ND093026,WGS84,47.151072,-99.253018,standardized,16N0390,S2015ND093026,,not started,C2016USND034,Site_C NEON ND Stutsman Co.,2016,NEON,characterization,completed,Parnell,mollisols,aquolls,argiaquolls,United States,Stutsman,North Dakota,4,4,4.0,0.0,2016-04-09 14:49:48,2016-04-09 14:49:49,16.0,10.0,True,10-30,0.0448263,0.06756262,,,0.554532,33.388253,37.8033503,3.674,0.5428622,0.14423242,7.76,7.78,29.6,32.6,3.73876024,0.35781104,0.28583156,23.136646,,0,S2015ND093026,EXACT,Designation and top/bottom depths agree,618.0,S2015ND093026,2.0,A1,2.0,18.0,16.0,silty clay loam,"black (10YR 2/1), black (10YR 2/1), dry",black,10YR 2/1,10YR,2.0,1.0,,,,,,,,,,,,,,,,,,"A1—2 to 18 centimeters (0.8 to 7.1 inches); black (10YR 2/1), black (10YR 2/1), dry; silty clay loam; moderate fine granular, and weak fine granular structure; moderately sticky, moderately plastic; moderately slow permeability; shell fragments; fragments; noneffervescent, by hcl, 1n; clear wavy boundary. Lab sample # 16N01616; wet when described; observed in pit, small. Shells present within this horizon.",0.5428622,,0.14423242,,0.0263216,,,246.7412192,,,very poorly,,frequent ponding for very long periods,"Fine, smectitic, frigid Vertic Argiaquolls",Parnell,yes,NASIS,HYDRIC_REFERENCE,16.0
172927,16N01617,4878,28780,34945,33,horizon,18.0,36.0,A2,A,Silty clay loam,SICL,242108,bulk,normal,submitted,1,S2015ND093026,WGS84,47.151072,-99.253018,standardized,16N0390,S2015ND093026,,not started,C2016USND034,Site_C NEON ND Stutsman Co.,2016,NEON,characterization,completed,Parnell,mollisols,aquolls,argiaquolls,United States,Stutsman,North Dakota,4,4,4.0,0.0,2016-04-09 14:50:27,2016-04-09 14:50:27,18.0,27.0,False,10-30,0.0373066,0.05000161,,,0.796872,25.099999,32.9683154,1.784,0.6120728,0.13191002,7.8,7.83,38.3,28.7,1.88010587,0.18127743,0.27346994,18.2238409,,0,S2015ND093026,EXACT,Designation and top/bottom depths agree,619.0,S2015ND093026,3.0,A2,18.0,36.0,18.0,silty clay loam,"very dark gray (2.5Y 3/1), dark gray (2.5Y 4/1), dry",dark gray,2.5Y 4/1,2.5Y,4.0,1.0,,,,,,,,,,,,,,,,,,"A2—18 to 36 centimeters (7.1 to 14.2 inches); very dark gray (2.5Y 3/1), dark gray (2.5Y 4/1), dry; silty clay loam; moderate fine subangular blocky parts to weak fine granular structure; moderately sticky, moderately plastic; moderately slow permeability; fragments; very slight effervescence, by hcl, 1n; clear wavy boundary. Lab sample # 16N01617; wet when described; observed in pit, small",0.6120728,,0.13191002,,0.0275813,,,374.744389,,,very poorly,,frequent ponding for very long periods,"Fine, smectitic, frigid Vertic Argiaquolls",Parnell,yes,NASIS,HYDRIC_REFERENCE,12.0
