property,n_hydric,n_nonhydric,hydric_median,nonhydric_median,median_difference_hydric_minus_nonhydric,hydric_min,hydric_max,nonhydric_min,nonhydric_max,absolute_median_difference
clay_pct,5,16,35.9160196,25.2099804,10.7060392,26.7550973,46.88501385,8.1824277,47.2252747,10.7060392
sand_pct,5,16,28.5,35.825,-7.325000000000003,15.05,34.15,5.2,74.9,7.325000000000003
water_retention_15bar_pct,5,16,21.277205,14.874148224999999,6.403056775,14.805252900000001,28.3831602,6.1573034,21.7365538,6.403056775
carbonate_pct,4,8,0.9279695,5.775175,-4.8472055,-0.004052,48.578759500000004,0.35545,15.665767,4.8472055
silt_pct,5,16,38.1,33.925,4.175000000000004,32.6,47.900000000000006,14.950000000000001,58.2,4.175000000000004
cec_nh4oac_cmol_kg,5,16,28.146636899999997,24.493256875,3.653380024999997,24.9088976,33.388253,10.2869285,36.7082207,3.653380024999997
estimated_organic_carbon_pct,5,16,3.674,2.7401999999999997,0.9338000000000002,3.2,6.3553999999999995,1.31,3.1982,0.9338000000000002
total_carbon_pct,5,16,3.73876024,3.0625424050000003,0.6762178349999997,3.2000478250000004,12.18315874,1.30501041,4.3785178049999995,0.6762178349999997
ph_cacl2,5,16,7.17,6.525,0.6449999999999996,5.51,7.779999999999999,5.6825,7.59,0.6449999999999996
bulk_density_ovendry_g_cm3,1,14,1.87053794,1.3646296725,0.5059082675,1.87053794,1.87053794,1.09408129,1.55045804,0.5059082675
fe_dithionite_pct,5,16,0.5428622,0.81533705,-0.27247485000000005,0.24949555,0.6165323,0.38988670000000003,1.3248681,0.27247485000000005
bulk_density_third_bar_g_cm3,1,14,1.4029857099999998,1.2184845725,0.18450113749999986,1.4029857099999998,1.4029857099999998,0.98854208,1.41163939,0.18450113749999986
total_nitrogen_pct,5,16,0.35781104,0.26859144,0.08921960000000001,0.300828435,0.61777736,0.14632663,0.3579423,0.08921960000000001
total_sulfur_pct,5,16,0.10782386,0.0293297,0.07849416,0.03020853,0.28583156,0.01353334,0.053840105,0.07849416
water_retention_third_bar_pct,1,14,24.567848650000002,24.501053725,0.0667949250000035,24.567848650000002,24.567848650000002,12.0394056,29.5711002,0.0667949250000035
ph_water,5,16,7.18,7.24,-0.0600000000000005,6.02,7.92,6.04,7.9799999999999995,0.0600000000000005
fe_oxalate_pct,5,16,0.186825035,0.1339857375,0.05283929749999999,0.13864682,0.38508759000000004,0.07206757,0.259337775,0.05283929749999999
al_dithionite_pct,5,16,0.0373066,0.08988550000000001,-0.052578900000000005,0.0,0.051676200000000005,0.02084135,0.1297537,0.052578900000000005
al_oxalate_pct,5,16,0.06948229,0.108416185,-0.038933894999999996,0.048556375,0.07466056,0.04056986,0.16697657,0.038933894999999996
