lims_pedon_id,user_pedon_id,latitude,longitude,areasymbol,mukey,musym,muname,likely_neon_site_code,lab_proj_name,submit_proj_name,nasis_taxon_name,nasis_taxonomy,candidate_component_count,candidate_components,match_confidence,match_evidence,alternatives_rejected,selected_cokey,selected_compname,selected_comppct_r,selected_majcompflag,selected_taxorder,selected_taxsuborder,selected_taxgrtgroup,selected_taxsubgrp,selected_taxpartsize,selected_localphase,selected_otherph,selected_drainagecl,selected_hydricrating,selected_hydric_criteria,selected_hydric_criteria_keys
24847,S2012ND093001,47.158989,-99.239021,ND093,3312341.0,C24A,"Parnell silty clay loam, 0 to 1 percent slopes, Missouri Coteau",,I2012USND099,NEON ND Woodworth,Manning-Like,,7.0,Parnell [27720308; 64%; Yes] | Vallers [27720307; 10%; Yes] | Tonka [27720309; 10%; Yes] | Southam [27720310; 10%; Yes] | Hamerly [27720312; 3%; No] | Vallers [27720306; 2%; Yes] | Heil [27720311; 1%; Yes],UNMATCHED,No candidate has adequate name or taxonomic agreement.,All candidates lack sufficient correspondence to the sampled pedon.,,,,,,,,,,,,,,,
34938,S2015ND093009,47.144874,-99.233198,ND093,2661634.0,C135D,"Zahl-Williams loams, 9 to 15 percent slopes",,C2016USND034,Site_C NEON ND Stutsman Co.,Zahl,"Fine-loamy, mixed, active, frigid Typic Calciustolls",8.0,Zahl [27719303; 41%; No] | Williams [27719304; 30%; No] | Zahill [27719306; 9%; No] | Bowbells [27719309; 9%; No] | Niobell [27719305; 3%; No] | Wabek [27719307; 3%; No] | Parnell [27719308; 3%; Yes] | Hamerly [27719310; 2%; No],EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,Niobell (27719305): weaker name/taxonomy score 26.4; Bowbells (27719309): weaker name/taxonomy score 25.8; Williams (27719304): weaker name/taxonomy score 25.8; Parnell (27719308): weaker name/taxonomy score 12.7; Hamerly (27719310): weaker name/taxonomy score 12.7; Zahill (27719306): weaker name/taxonomy score 8.0; Wabek (27719307): weaker name/taxonomy score 7.8,27719303.0,Zahl,41.0,Yes,Mollisols,Ustolls,Calciustolls,Typic Calciustolls,fine-loamy,,"A,L,9-15,wd,range,osd,SD",Well drained,No,,
34939,S2015ND093010,47.1465,-99.225673,ND093,2566841.0,C819B,"Lehr-Wabek loams, 2 to 6 percent slopes",,C2016USND034,Site_C NEON ND Stutsman Co.,Wabek,"Loamy-skeletal, mixed, frigid Entic Haplustolls",7.0,Lehr [27719367; 47%; No] | Wabek [27719366; 35%; No] | Bowdle [27719364; 10%; No] | Appam [27719363; 5%; No] | Tonka [27719362; 1%; Yes] | Parshall [27719365; 1%; No] | Divide [27719368; 1%; No],EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,Lehr (27719367): weaker name/taxonomy score 67.8; Appam (27719363): weaker name/taxonomy score 67.0; Bowdle (27719364): weaker name/taxonomy score 52.7; Parshall (27719365): weaker name/taxonomy score 25.4; Tonka (27719362): weaker name/taxonomy score 7.0; Divide (27719368): weaker name/taxonomy score 6.4,27719366.0,Wabek,35.0,Yes,Mollisols,Ustolls,Haplustolls,Entic Haplustolls,sandy-skeletal,,"A,L,2-6,exd,range,osd, SD",Excessively drained,No,,
34940,S2015ND093013,47.137,-99.229,ND093,2566846.0,C156F,"Zahl-Max-Bowbells loams, 6 to 35 percent slopes",,C2016USND034,Site_C NEON ND Stutsman Co.,Typic Caciaquoll,"Fine, smectitic, frigid Typic Calciaquolls",8.0,Zahl [27719277; 54%; No] | Max [27719278; 22%; No] | Bowbells [27719280; 18%; No] | Parnell [27719279; 2%; Yes] | Tonka [27719274; 1%; Yes] | Wabek [27719275; 1%; No] | Noonan [27719276; 1%; No] | Hamerly [27719281; 1%; No],AMBIGUOUS,Multiple plausible candidates remain without a decisive name/taxonomy margin.,No plausible alternative rejected.,,,,,,,,,,,,,,,
34941,S2015ND093017,47.137,-99.234,ND093,2595591.0,C870E,"Wabek-Lehr-Appam complex, 9 to 25 percent slopes",,C2016USND034,Site_C NEON ND Stutsman Co.,Schaller,"Sandy, mixed, frigid Entic Haplustolls",6.0,Wabek [27719356; 50%; No] | Lehr [27719359; 19%; No] | Appam [27719357; 17%; No] | Bowdle [27719360; 8%; No] | Divide [27719361; 4%; No] | Parnell [27719358; 2%; Yes],AMBIGUOUS,Multiple plausible candidates remain without a decisive name/taxonomy margin.,No plausible alternative rejected.,,,,,,,,,,,,,,,
34942,S2015ND093019,47.146553,-99.245216,ND093,2566844.0,C165F,"Zahl-Max-Parnell complex, 0 to 35 percent slopes",,C2016USND034,Site_C NEON ND Stutsman Co.,Max,"Fine-loamy, mixed, active, frigid Typic Haplustolls",8.0,Zahl [27720397; 33%; No] | Max [27720396; 26%; No] | Parnell [27720398; 22%; Yes] | Bowbells [27720399; 6%; No] | Vallers [27720393; 4%; Yes] | Wabek [27720392; 3%; No] | Noonan [27720394; 3%; No] | Tonka [27720395; 3%; Yes],EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,Bowbells (27720399): weaker name/taxonomy score 57.5; Zahl (27720397): weaker name/taxonomy score 30.0; Noonan (27720394): weaker name/taxonomy score 27.8; Wabek (27720392): weaker name/taxonomy score 22.8; Vallers (27720393): weaker name/taxonomy score 14.0; Parnell (27720398): weaker name/taxonomy score 9.3; Tonka (27720395): weaker name/taxonomy score 8.8,27720396.0,Max,26.0,Yes,Mollisols,Ustolls,Haplustolls,Typic Haplustolls,fine-loamy,,"A,L,15-25,wd,range,osd,nd",Well drained,No,,
34943,S2015ND093021,47.146,-99.244,ND093,2566844.0,C165F,"Zahl-Max-Parnell complex, 0 to 35 percent slopes",,C2016USND034,Site_C NEON ND Stutsman Co.,Colvin,"Fine-silty, mixed, superactive, frigid Typic Calciaquolls",8.0,Zahl [27720397; 33%; No] | Max [27720396; 26%; No] | Parnell [27720398; 22%; Yes] | Bowbells [27720399; 6%; No] | Vallers [27720393; 4%; Yes] | Wabek [27720392; 3%; No] | Noonan [27720394; 3%; No] | Tonka [27720395; 3%; Yes],AMBIGUOUS,Multiple plausible candidates remain without a decisive name/taxonomy margin.,No plausible alternative rejected.,,,,,,,,,,,,,,,
34944,S2015ND093022,47.146167,-99.263711,ND093,2566829.0,C132C,"Williams-Zahl-Zahill complex, 6 to 9 percent slopes",,C2016USND034,Site_C NEON ND Stutsman Co.,Southam,"Fine, smectitic, calcareous, frigid Vertic Endoaquolls",7.0,Williams [27720406; 50%; No] | Zahl [27720407; 20%; No] | Zahill [27720409; 15%; No] | Bowbells [27720412; 9%; No] | Hamerly [27720411; 3%; No] | Parnell [27720410; 2%; Yes] | Noonan [27720408; 1%; No],AMBIGUOUS,Multiple plausible candidates remain without a decisive name/taxonomy margin.,No plausible alternative rejected.,,,,,,,,,,,,,,,
34945,S2015ND093026,47.151072,-99.253018,ND093,3312341.0,C24A,"Parnell silty clay loam, 0 to 1 percent slopes, Missouri Coteau",,C2016USND034,Site_C NEON ND Stutsman Co.,Parnell,"Fine, smectitic, frigid Vertic Argiaquolls",7.0,Parnell [27720308; 64%; Yes] | Vallers [27720307; 10%; Yes] | Tonka [27720309; 10%; Yes] | Southam [27720310; 10%; Yes] | Hamerly [27720312; 3%; No] | Vallers [27720306; 2%; Yes] | Heil [27720311; 1%; Yes],EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,Hamerly (27720312): weaker name/taxonomy score 35.0; Vallers (27720306): weaker name/taxonomy score 35.0; Vallers (27720307): weaker name/taxonomy score 35.0; Southam (27720310): weaker name/taxonomy score 25.0; Tonka (27720309): weaker name/taxonomy score 5.8; Heil (27720311): weaker name/taxonomy score -7.3,27720308.0,Parnell,64.0,Yes,Mollisols,Aquolls,Argiaquolls,Vertic Argiaquolls,fine,,"A,SiCL,0-1,vpd,53B-DSM,SD,TP,FY23",Very poorly drained,Yes,2; 3,6268276; 6268277
34946,S2015ND093028,47.140568,-99.252037,ND093,3312344.0,C26A,"Tonka-Parnell complex, 0 to 1 percent slopes, Missouri Coteau",,C2016USND034,Site_C NEON ND Stutsman Co.,Parnell,"Fine, smectitic, frigid Vertic Argiaquolls",6.0,Tonka [27720297; 60%; Yes] | Parnell [27720298; 22%; Yes] | Vallers [27720295; 5%; Yes] | Vallers [27720296; 5%; Yes] | Wyard [27720299; 5%; No] | Bowbells [27720300; 3%; No],EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,Vallers (27720295): weaker name/taxonomy score 35.0; Vallers (27720296): weaker name/taxonomy score 35.0; Wyard (27720299): weaker name/taxonomy score 31.7; Bowbells (27720300): weaker name/taxonomy score 14.0; Tonka (27720297): weaker name/taxonomy score 5.8,27720298.0,Parnell,22.0,Yes,Mollisols,Aquolls,Argiaquolls,Vertic Argiaquolls,fine,,"A,SiCL,0-1,vpd,53B-DSM,SD,TP,FY23",Very poorly drained,Yes,2; 3,6268265; 6268266
34947,S2015ND093029,47.122,-99.239,ND093,2566841.0,C819B,"Lehr-Wabek loams, 2 to 6 percent slopes",,C2016USND034,Site_C NEON ND Stutsman Co.,McDonaldsville,"Loamy-skeletal, mixed, superactive, frigid Typic Calciaquolls",7.0,Lehr [27719367; 47%; No] | Wabek [27719366; 35%; No] | Bowdle [27719364; 10%; No] | Appam [27719363; 5%; No] | Tonka [27719362; 1%; Yes] | Parshall [27719365; 1%; No] | Divide [27719368; 1%; No],AMBIGUOUS,Multiple plausible candidates remain without a decisive name/taxonomy margin.,No plausible alternative rejected.,,,,,,,,,,,,,,,
34948,S2015ND093030,47.137925,-99.243418,ND093,3312341.0,C24A,"Parnell silty clay loam, 0 to 1 percent slopes, Missouri Coteau",,C2016USND034,Site_C NEON ND Stutsman Co.,SND,"Fine-loamy, carbonatic, frigid Cumulic Endoaquolls",7.0,Parnell [27720308; 64%; Yes] | Vallers [27720307; 10%; Yes] | Tonka [27720309; 10%; Yes] | Southam [27720310; 10%; Yes] | Hamerly [27720312; 3%; No] | Vallers [27720306; 2%; Yes] | Heil [27720311; 1%; Yes],EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,Hamerly (27720312): weaker name/taxonomy score 35.0; Parnell (27720308): weaker name/taxonomy score 27.0; Vallers (27720306): weaker name/taxonomy score 27.0; Vallers (27720307): weaker name/taxonomy score 27.0; Tonka (27720309): weaker name/taxonomy score 11.7; Heil (27720311): weaker name/taxonomy score -13.6,27720310.0,Southam,10.0,No ,Mollisols,Aquolls,Endoaquolls,Cumulic Vertic Endoaquolls,fine,,"A-sicl,0-1%,vpd,53B-DSM,SD,TP,FY23",Very poorly drained,Yes,2; 3,6268280; 6268281
34949,S2015ND093031,47.128,-99.243,ND093,2566841.0,C819B,"Lehr-Wabek loams, 2 to 6 percent slopes",,C2016USND034,Site_C NEON ND Stutsman Co.,Tonka,"Fine, smectitic, frigid Argiaquic Argialbolls",7.0,Lehr [27719367; 47%; No] | Wabek [27719366; 35%; No] | Bowdle [27719364; 10%; No] | Appam [27719363; 5%; No] | Tonka [27719362; 1%; Yes] | Parshall [27719365; 1%; No] | Divide [27719368; 1%; No],EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,Bowdle (27719364): weaker name/taxonomy score 6.4; Lehr (27719367): weaker name/taxonomy score 0.0; Divide (27719368): weaker name/taxonomy score 0.0; Appam (27719363): weaker name/taxonomy score -13.0; Wabek (27719366): weaker name/taxonomy score -13.0; Parshall (27719365): weaker name/taxonomy score -14.6,27719362.0,Tonka,1.0,No ,Mollisols,Albolls,Argialbolls,Argiaquic Argialbolls,fine,,"A,sil,0-1,pd,cult,osd,ND",Poorly drained,Yes,3; 2,6267856; 6267857
34950,S2015ND093032,47.130825,-99.243025,ND093,2595591.0,C870E,"Wabek-Lehr-Appam complex, 9 to 25 percent slopes",,C2016USND034,Site_C NEON ND Stutsman Co.,Roseglen,"Fine-loamy, mixed, superactive, frigid Pachic Haplustolls",6.0,Wabek [27719356; 50%; No] | Lehr [27719359; 19%; No] | Appam [27719357; 17%; No] | Bowdle [27719360; 8%; No] | Divide [27719361; 4%; No] | Parnell [27719358; 2%; Yes],AMBIGUOUS,Multiple plausible candidates remain without a decisive name/taxonomy margin.,No plausible alternative rejected.,,,,,,,,,,,,,,,
34951,S2015ND093033,47.128106,-99.243791,ND093,2566841.0,C819B,"Lehr-Wabek loams, 2 to 6 percent slopes",,C2016USND034,Site_C NEON ND Stutsman Co.,Tansem,"Coarse-loamy, mixed, active, frigid Typic Haplustolls",7.0,Lehr [27719367; 47%; No] | Wabek [27719366; 35%; No] | Bowdle [27719364; 10%; No] | Appam [27719363; 5%; No] | Tonka [27719362; 1%; Yes] | Parshall [27719365; 1%; No] | Divide [27719368; 1%; No],AMBIGUOUS,Multiple plausible candidates remain without a decisive name/taxonomy margin.,No plausible alternative rejected.,,,,,,,,,,,,,,,
34952,S2015ND093034,47.127281,-99.246569,ND093,3312344.0,C26A,"Tonka-Parnell complex, 0 to 1 percent slopes, Missouri Coteau",,C2016USND034,Site_C NEON ND Stutsman Co.,Zahl,"Coarse-loamy, mixed, superactive, frigid Typic Calciustolls",6.0,Tonka [27720297; 60%; Yes] | Parnell [27720298; 22%; Yes] | Vallers [27720295; 5%; Yes] | Vallers [27720296; 5%; Yes] | Wyard [27720299; 5%; No] | Bowbells [27720300; 3%; No],AMBIGUOUS,Multiple plausible candidates remain without a decisive name/taxonomy margin.,No plausible alternative rejected.,,,,,,,,,,,,,,,
35444,S2016ND059001,46.805925,-100.915698,ND059,2699195.0,E1823A,"Parshall fine sandy loam, 0 to 2 percent slopes",NOGP,C2016USND122,Site_C NEON_10_NOGP,Parshall,"Coarse-loamy, mixed, superactive, frigid Pachic Haplustolls",6.0,Parshall [27699832; 68%; No] | Tally [27699833; 12%; No] | Arnegard [27699831; 10%; No] | Lihen [27699830; 5%; No] | Vebar [27699834; 3%; No] | Daglum [27699835; 2%; No],EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,Tally (27699833): weaker name/taxonomy score 56.2; Arnegard (27699831): weaker name/taxonomy score 53.1; Vebar (27699834): weaker name/taxonomy score 50.8; Lihen (27699830): weaker name/taxonomy score 25.4; Daglum (27699835): weaker name/taxonomy score 10.0,27699832.0,Parshall,68.0,Yes,Mollisols,Ustolls,Haplustolls,Pachic Haplustolls,coarse-loamy,,"EPA03A fsl,0-2%,eco-SD",Well drained,No,,
35445,S2016ND059003,46.800992,-100.916115,ND059,2699207.0,E0837C,"Wyola silty clay loam, 6 to 9 percent slopes",NOGP,C2016USND122,Site_C NEON_10_NOGP,Savage,"Fine, smectitic, frigid Vertic Argiustolls",7.0,Wyola [27699593; 69%; No] | Regent [27699587; 7%; No] | Grail [27699588; 6%; No] | Shambo [27699589; 6%; No] | Daglum [27699590; 5%; No] | Morton [27699591; 5%; No] | Chama [27699592; 2%; No],EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,Regent (27699587): weaker name/taxonomy score 71.7; Grail (27699588): weaker name/taxonomy score 67.0; Morton (27699591): weaker name/taxonomy score 46.4; Chama (27699592): weaker name/taxonomy score 32.7; Shambo (27699589): weaker name/taxonomy score 31.7; Daglum (27699590): weaker name/taxonomy score 31.7,27699593.0,Wyola,69.0,Yes,Mollisols,Ustolls,Argiustolls,Vertic Argiustolls,fine,,,Well drained,No,,
35446,S2016ND059005,46.768943,-100.917042,ND059,2520776.0,E3755A,"Temvik-Wilton silt loams, 0 to 3 percent slopes",NOGP,C2016USND122,Site_C NEON_10_NOGP,Temvik,"Fine-silty, mixed, superactive, frigid Typic Haplustolls",4.0,Temvik [27700237; 51%; No] | Wilton [27700240; 38%; No] | Williams [27700238; 9%; No] | Grassna [27700239; 2%; No],EXACT,Unique exact normalized NASIS taxon/component-name match within the intersected map unit.,Wilton (27700240): weaker name/taxonomy score 45.8; Grassna (27700239): weaker name/taxonomy score 40.0; Williams (27700238): weaker name/taxonomy score 5.0,27700237.0,Temvik,51.0,Yes,Mollisols,Ustolls,Haplustolls,Typic Haplustolls,fine-silty,,,Well drained,No,,
35447,S2016ND059007,46.78332,-100.90815,ND059,2699155.0,E2617F,"Cabba-Chama-Shambo loams, 9 to 50 percent slopes",NOGP,C2016USND122,Site_C NEON_10_NOGP,Golva,"Fine-silty, mixed, superactive, frigid Typic Haplustolls",6.0,Cabba [27699643; 41%; No] | Chama [27699644; 27%; No] | Shambo [27699645; 15%; No] | Amor [27699646; 10%; No] | Arnegard [27699647; 5%; No] | Rock outcrop [27699642; 2%; No],AMBIGUOUS,Multiple plausible candidates remain without a decisive name/taxonomy margin.,No plausible alternative rejected.,,,,,,,,,,,,,,,
